lad_code,overall_score,overall_rank,overall_quantiles,individual_domain_score,individual_domain_rank,individual_domain_quantiles,community_domain_score,community_domain_rank,community_domain_quantiles,heat_hazard_quantiles,fire_quantiles,flood_quantiles
E08000027,49.60199962828456,193,4,2.5602319714835344,232,4,0.2456077899884319,174,3,3,3,1
E08000028,42.015565746216,160,3,2.111330526156239,223,4,-0.18875012420537118,139,3,4,5,1
E08000029,57.31182471884958,222,4,-0.7595870159912834,138,3,2.047658633205812,267,5,1,3,2
E08000030,53.32493483243792,206,4,2.3730899693702767,229,4,0.5343227401830188,199,4,3,4,1
E08000031,74.46330249557994,268,5,3.9948837989840538,267,5,1.0729092867713277,230,4,2,5,1
E08000032,10.331592418149715,35,1,-1.3551387197853029,108,2,-3.661979580546026,10,1,5,4,1
E08000033,36.93731561047485,136,3,2.050602291738997,220,4,-0.6692302125570965,103,2,4,3,3
E08000034,15.273544572601459,50,1,-0.602244487049971,142,3,-3.1597473154138425,20,1,4,3,2
E08000035,11.94589410592615,40,1,-1.0703908214785405,125,3,-3.8067473137204537,5,1,3,4,1
E08000036,75.7317231945368,269,5,-1.1153484883295437,123,2,3.08521995279135,294,5,2,2,2
E08000037,36.286462216281315,133,3,2.530324193743335,231,4,-1.340956726426645,68,2,4,4,1
E09000001,39.679548070617805,149,3,-1.6248547778216804,99,2,1.0907174252849339,232,4,1,5,1
E09000002,24.344663044481937,92,2,-6.354834674494488,6,1,0.6499874311926206,203,4,5,4,2
E09000003,1.81313921951813,2,1,-6.2795814131881995,7,1,-3.178472508435042,19,1,4,3,2
E09000004,9.393688005503616,31,1,-4.389268966855503,40,1,-1.2033401491077174,76,2,5,2,2
E09000005,2.4307735832213218,5,1,-5.333186054182998,23,1,-3.4463113780718975,11,1,5,5,1
E09000006,7.794649930247198,24,1,-4.310763482136013,41,1,-1.5897724930248405,58,1,2,3,2
E09000007,6.384845498713084,18,1,-3.1016572683042885,68,2,-3.404676868040047,12,1,4,5,1
E09000008,6.348104762234317,17,1,-3.8116974150288274,52,1,-2.7145663074019017,30,1,4,5,1
E09000009,1.8202970262251381,3,1,-6.463488246625394,5,1,-3.1084321664941617,21,1,5,4,1
E09000010,3.921769596064123,10,1,-5.090402318998237,26,1,-2.7374064569975936,27,1,5,4,2
E09000011,6.923758240151894,22,1,-3.377451855145952,62,1,-2.770397883165195,26,1,5,5,4
E09000012,6.4401007858047885,19,1,-3.0221246387189993,71,2,-3.6850521410468238,9,1,5,5,1
E09000013,6.665367978041793,21,1,-3.963877963502505,50,1,-2.582054706265313,36,1,5,5,5
E09000014,2.2664597349366593,4,1,-5.679519859858598,15,1,-3.3072059041679656,17,1,5,5,1
E09000015,2.488607865303469,6,1,-6.937016650435337,1,1,-2.6640420684709754,33,1,5,2,2
E09000016,30.403897052949617,113,2,-4.727228208205104,34,1,0.8631652760272566,220,4,5,3,2
E09000017,4.0904689009226525,11,1,-6.901362452293206,2,1,-1.7019619883044883,51,1,5,3,2
E09000018,10.612851514532288,37,1,-5.561891757372852,18,1,-0.6441471319965374,105,2,5,4,2
E09000019,7.86899271195337,25,1,-2.323839430653636,81,2,-3.3260464273582704,15,1,5,5,1
E09000020,19.205737463669788,69,2,-0.0018914173598241213,160,3,-2.5425712600064054,37,1,5,5,1
E09000021,5.4789402905917735,14,1,-5.855257443498297,11,1,-1.570813268065131,59,1,4,3,2
E09000022,8.388422280552867,27,1,-2.8214831372407416,75,2,-2.736630150114365,29,1,5,5,1
E09000023,7.650832789963168,23,1,-2.569900078431029,78,2,-3.3084249348323187,16,1,5,5,2
E09000024,3.816090622798591,9,1,-6.65364229805267,3,1,-1.8167438284461737,47,1,5,4,1
E09000025,1.8041950925230958,1,1,-5.841897584084595,12,1,-3.3624581886900464,14,1,5,4,4
E09000026,4.113641309187999,12,1,-5.58879135095971,17,1,-2.505976225464018,38,1,5,2,1
E09000027,4.5719065021601715,13,1,-4.991202986593105,27,1,-2.61252853705648,34,1,5,2,3
E09000028,6.567976849237564,20,1,-2.766746629054562,77,2,-4.142795851317859,3,1,5,5,5
E09000029,5.739456790267199,15,1,-4.919222487459831,30,1,-1.9032528835906872,45,1,3,4,1
E09000030,2.9585320098220267,8,1,-4.66145643552404,36,1,-4.087810710502451,4,1,5,5,3
E09000031,6.160156783471185,16,1,-6.517767390863901,4,1,-1.254703400450746,72,2,5,4,1
E09000032,2.742729984041947,7,1,-5.70900445326695,13,1,-2.838299906097217,25,1,5,4,2
E09000033,9.851682849849146,33,1,-1.6562195827400727,98,2,-3.192944906780927,18,1,5,5,2
