MSOA11CD,No. people in flood risk areas,% people in flood risk areas
E02004574,304,0.038854806
E02004575,240,0.020535638
E02004576,270,0.029637761
E02004578,585,0.079798118
E02004583,783,0.088444595
E02004584,267,0.039898386
E02004589,302,0.039053407
E02004590,3482,0.414425137
E02004591,349,0.046946462
E02004597,288,0.033329476
E02004604,303,0.037342864
E02004608,969,0.094169096
E02004611,282,0.024523872
E02004615,292,0.034442085
E02004616,249,0.025800435
E02004618,476,0.065223349
E02004619,504,0.068422482
E02004621,720,0.109906884
E02004622,267,0.035196414
E02004623,261,0.028678167
E02004626,306,0.029685681
E02004627,397,0.064166801
E02004630,368,0.055639552
E02004631,542,0.106295352
E02004636,702,0.088546922
E02004637,297,0.032480315
E02004639,915,0.090701824
E02004640,945,0.114921561
E02004643,359,0.045015674
E02004646,211,0.023644106
E02004648,363,0.06316339
E02004653,1034,0.150706894
E02004655,284,0.035362968
E02004661,298,0.034582801
E02004663,235,0.035595274
E02004667,123,0.010745173
E02004671,582,0.082752737
E02004673,253,0.036656042
E02004674,607,0.051964729
E02004680,516,0.067318982
E02004686,264,0.031146767
E02004694,378,0.052985702
E02004696,760,0.111306385
E02004699,297,0.027383367
E02004707,350,0.030374035
E02004708,360,0.039049788
E02004712,670,0.074386588
E02004713,275,0.034195474
E02004714,1028,0.133108896
E02004716,271,0.030439178
E02004717,434,0.036263369
E02004720,529,0.047817048
E02004722,682,0.094959621
E02004723,611,0.061598952
E02004724,1084,0.128924833
E02004727,271,0.0272143
E02004732,392,0.04549147
E02004733,389,0.048125696
E02004734,496,0.04648983
E02004738,870,0.116700201
E02004746,280,0.024913249
E02004748,1078,0.107221007
E02004751,321,0.039870824
E02004752,615,0.076283801
E02004753,314,0.029569639
E02004757,919,0.115772235
E02004758,683,0.076287278
E02004759,1444,0.169662789
E02004760,297,0.029741638
E02004767,752,0.118201823
E02004769,360,0.056506043
E02004770,330,0.046629928
E02004771,332,0.035322907
E02004774,248,0.024706117
E02004777,1173,0.209501697
E02004778,1477,0.236660792
E02004779,150,0.013936635
E02004780,539,0.089713715
E02004781,282,0.033547466
E02004782,1668,0.208578217
E02004786,1737,0.201134785
E02004788,530,0.073908799
E02004790,415,0.051240894
E02004793,298,0.039381525
E02004794,884,0.126956772
E02004795,570,0.060567421
E02004797,340,0.041397784
E02004800,320,0.041753653
E02004801,281,0.035239528
E02004802,365,0.055127624
E02004815,305,0.039775691
E02004824,340,0.056970509
E02004826,376,0.044276967
E02004827,1132,0.151013874
E02004829,265,0.045083362
E02004830,299,0.043484584
E02004832,360,0.042548162
E02004838,338,0.035481839
E02004839,726,0.083381188
E02004841,260,0.022207038
E02004842,708,0.069032761
E02004847,239,0.02241816
E02004852,997,0.127902502
E02004855,240,0.029447853
E02004856,600,0.105485232
E02004857,426,0.071273214
E02004864,480,0.073316023
E02004880,974,0.102321672
E02004887,289,0.037615515
E02004890,714,0.083411215
E02004894,957,0.098924953
E02004895,1930,0.201608691
E02004896,1158,0.139199423
E02004903,1080,0.140625
E02004904,423,0.065826331
E02004906,354,0.033827043
E02004913,634,0.041192905
E02004927,665,0.101744186
E02004941,354,0.036389803
E02004962,510,0.056957784
E02004989,1061,0.074180242
E02004996,350,0.041686517
E02005000,678,0.057244174
E02005006,363,0.061945392
E02005007,698,0.075386111
E02005010,1292,0.160158671
E02005011,359,0.046879081
E02005013,233,0.027668923
E02005017,1955,0.282677848
E02005018,840,0.093635046
E02005026,946,0.11706472
E02005027,287,0.051683775
E02005029,400,0.030724326
E02005030,1561,0.136189147
E02005033,313,0.041594684
E02005039,367,0.054113831
E02005042,1428,0.155318686
E02005043,2177,0.289764408
E02005044,133,0.020130165
E02005050,345,0.035395506
E02005052,581,0.071525299
E02005056,871,0.0802987
E02005057,2842,0.243155373
E02005073,1129,0.090392314
E02005076,136,0.01349742
E02005081,1112,0.168179068
E02005085,1189,0.161812738
E02005091,314,0.044966347
E02005094,582,0.06138593
E02005097,229,0.022747591
E02005099,351,0.044497972
E02005100,276,0.028264209
E02005101,354,0.050007063
E02005105,740,0.092941472
E02005106,331,0.033959167
E02005109,611,0.089576308
E02005110,3317,0.472036431
E02005111,3843,0.513084112
E02005112,6739,0.939102564
E02005113,806,0.109184503
E02005114,1019,0.153695324
E02005115,6677,1
E02005116,6741,1
E02005117,1632,0.255479023
E02005118,1254,0.116143373
E02005119,1646,0.261062649
E02005121,2754,0.19376627
E02005123,731,0.05752282
E02005124,1283,0.143175985
E02005125,584,0.068705882
E02005128,1212,0.14009941
E02005130,369,0.041284404
E02005131,510,0.077050914
E02005149,747,0.067638537
E02005151,659,0.051384016
E02005153,585,0.060924807
E02005154,538,0.044979517
E02005156,491,0.067519252
E02005157,381,0.054914961
E02005158,695,0.102085781
E02005159,358,0.045739108
E02005160,2703,0.215207006
E02005162,1439,0.137230593
E02005172,459,0.052559258
E02005182,1310,0.217427386
E02005184,282,0.056152927
E02005195,2886,0.35753221
E02005203,588,0.073943662
E02005211,3108,0.34131342
E02005218,570,0.078114294
E02005219,306,0.036437247
E02005220,505,0.083250907
E02005221,284,0.028727493
E02005222,275,0.043512658
E02005230,567,0.084400119
E02005231,239,0.029260529
E02005234,359,0.039398595
E02005236,257,0.018644806
E02005237,837,0.077335304
E02005239,1038,0.087087843
E02005242,296,0.047989624
E02005245,265,0.038663554
E02005247,1295,0.133905491
E02005248,422,0.060921034
E02005258,301,0.038207667
E02005268,527,0.056466302
E02005269,2330,0.213683052
E02005270,527,0.072340426
E02005271,627,0.079126704
E02005276,307,0.033669664
E02005278,319,0.039780521
E02005284,302,0.049137651
E02005285,849,0.132119514
E02005286,284,0.036017755
E02005288,324,0.052828958
E02005290,770,0.106397679
E02005291,1429,0.253413726
E02005293,292,0.053548505
E02005294,507,0.074427481
E02005298,166,0.021702183
E02005303,283,0.04473601
E02005304,275,0.031703943
E02005305,3939,0.519177541
E02005308,282,0.042020563
E02005309,221,0.026559308
E02005315,389,0.048527944
E02005319,3692,0.460349127
E02005320,866,0.145107239
E02005321,892,0.142242067
E02005322,6609,0.640965959
E02005323,3729,0.496604075
E02005324,199,0.028962305
E02005325,297,0.031819156
E02005326,1268,0.148756452
E02005327,2471,0.38227104
E02005328,4953,0.650512214
E02005329,7115,0.742848194
E02005330,5141,0.56173514
E02005331,249,0.031383917
E02005336,270,0.036183329
E02005337,356,0.035735796
E02005346,3418,0.260161364
E02005347,1794,0.159113082
E02005348,799,0.140966831
E02005352,455,0.070520769
E02005356,333,0.045134183
E02005357,246,0.02883939
E02005369,401,0.03308035
E02005375,547,0.056549157
E02005391,693,0.071223022
E02005392,221,0.024283046
E02005395,196,0.022265137
E02005397,1318,0.14329202
E02005399,293,0.035906863
E02005400,254,0.04347082
E02005412,453,0.051937629
E02005417,7468,1
E02005418,11622,1
E02005419,9097,1
E02005420,8850,1
E02005422,2574,0.411313519
E02005423,10122,1
E02005424,1098,0.10768929
E02005425,2596,0.402355859
E02005427,292,0.041161545
E02005428,6689,0.811279563
E02005429,6443,1
E02005430,333,0.046566914
E02005433,6511,0.927096682
E02005434,467,0.063287708
E02005435,7335,1
E02005436,1275,0.155260594
E02005437,5038,0.847007397
E02005438,6764,0.956042403
E02005439,2157,0.174769081
E02005440,3693,0.679609864
E02005441,3630,0.418443804
E02005445,864,0.071093557
E02005447,3087,0.407632378
E02005449,2276,0.245443761
E02005455,530,0.037358145
E02005459,903,0.107168289
E02005460,585,0.08984795
E02005462,888,0.090974285
E02005463,318,0.032538627
E02005465,3206,0.374401495
E02005466,6685,1
E02005467,6817,0.901361893
E02005468,2703,0.354584809
E02005469,6684,0.8308266
E02005470,13039,1
E02005471,9792,1
E02005472,9546,0.967271253
E02005473,10264,1
E02005474,3713,0.54659208
E02005475,1300,0.19165561
E02005482,315,0.032551411
E02005483,258,0.032526475
E02005486,520,0.053109999
E02005487,291,0.029843093
E02005493,1885,0.185824132
E02005494,1261,0.12413861
E02005495,5495,0.514754098
E02005496,340,0.052155239
E02005498,1426,0.192598595
E02005499,201,0.023801066
E02005501,246,0.031498079
E02005502,1100,0.114654993
E02005503,286,0.038544474
E02005516,272,0.039374638
E02005520,977,0.112856648
E02005540,1509,0.167759867
E02005541,2712,0.457798785
E02005542,3000,0.397140588
E02005543,1663,0.171319666
E02005544,6880,0.917700413
E02005547,614,0.069677712
E02005552,306,0.045066274
E02005553,492,0.05699722
E02005556,2348,0.316954644
E02005557,6655,1
E02005558,7087,1
E02005559,4574,0.629507294
E02005560,1160,0.12603216
E02005561,7882,0.702934094
E02005562,338,0.047272727
E02005563,4133,0.547344723
E02005564,359,0.036153072
E02005565,4078,0.582904517
E02005566,2799,0.28424901
E02005568,476,0.064125017
E02005569,451,0.054812834
E02005573,261,0.044433095
E02005574,453,0.063650415
E02005578,152,0.026014034
E02005582,1142,0.163352882
E02005583,1671,0.191277473
E02005604,379,0.044069767
E02005605,530,0.049178807
E02005607,401,0.034685581
E02005608,213,0.02746261
E02005610,408,0.049987748
E02005612,481,0.065728341
E02005627,386,0.051576697
E02005631,326,0.030737318
E02005660,730,0.117932149
E02005670,323,0.032679077
E02005673,1134,0.157041961
E02005677,1156,0.127565659
E02005682,890,0.127561989
E02005683,379,0.025651438
E02005700,213,0.023014587
E02005704,243,0.019194313
E02005705,492,0.064465409
E02005708,321,0.030741237
E02005723,1143,0.185041282
E02005724,417,0.062537493
E02005725,707,0.102776566
E02005726,232,0.029614501
E02005727,524,0.082741197
E02005729,244,0.042829559
E02005730,313,0.024028865
E02005732,162,0.017683659
E02005743,405,0.080023711
E02005744,690,0.086574655
E02005747,1820,0.263043792
E02005748,312,0.041041831
E02005749,1043,0.103379919
E02005750,482,0.062443322
E02005751,422,0.048707295
E02005752,310,0.046623552
E02005753,480,0.035592466
E02005754,296,0.039081067
E02005755,413,0.060486233
E02005758,539,0.059322034
E02005763,249,0.038791089
E02005764,593,0.057836731
E02005765,234,0.035400908
E02005766,258,0.042595344
E02005772,542,0.092824114
E02005776,156,0.016042781
E02005782,866,0.113529103
E02005784,979,0.158209438
E02005787,443,0.051433879
E02005788,287,0.04375
E02005789,633,0.059070549
E02005790,574,0.083260806
E02005791,704,0.10097533
E02005796,121,0.018375095
E02005797,276,0.044602456
E02005798,247,0.029766209
E02005799,253,0.02752094
E02005807,99,0.015502662
E02005810,1786,0.188436379
E02005811,1084,0.112553214
E02005813,7500,0.557413601
E02005814,1136,0.171886821
E02005815,1145,0.13516704
E02005816,2166,0.248765361
E02005818,318,0.036741768
E02005831,288,0.027692308
E02005832,1416,0.15104
E02005836,325,0.035222716
E02005842,465,0.053307348
E02005844,823,0.096032672
E02005846,750,0.103121133
E02005847,372,0.051868377
E02005848,211,0.032866044
E02005849,929,0.09889291
E02005857,322,0.04976047
E02005859,283,0.030446477
E02005860,2548,0.273243968
E02005861,5213,0.924946771
E02005863,1967,0.25895208
E02005866,591,0.062765506
E02005869,269,0.044178026
E02005872,346,0.05562701
E02005876,945,0.105445213
E02005878,151,0.014869522
E02005879,5977,0.783355177
E02005895,289,0.036215539
E02005896,407,0.053885873
E02005899,1575,0.126353791
E02005900,266,0.036009205
E02005903,252,0.02496038
E02005904,1128,0.120887365
E02005905,1584,0.232941176
E02005908,292,0.03100446
E02005909,6320,0.740740741
E02005910,7951,0.823852451
E02005911,996,0.114089347
E02005912,2715,0.28618109
E02005917,339,0.058498706
E02005919,597,0.086659893
E02005924,381,0.032116665
E02005931,389,0.03829494
E02005935,364,0.046070118
E02005938,394,0.071016583
E02005939,403,0.06041979
E02005942,278,0.04224924
E02005947,290,0.015943702
E02005948,2135,0.305218013
E02005951,2500,0.452570601
E02005961,562,0.084232614
E02005964,698,0.098852854
E02005966,361,0.045969693
E02005982,335,0.0558799
E02005983,310,0.026623154
E02005987,293,0.030829125
E02005988,288,0.036627242
E02005991,238,0.024028269
E02006000,499,0.041659709
E02006002,246,0.022834865
E02006004,279,0.045730208
E02006008,344,0.036615221
E02006010,315,0.026703967
E02006012,433,0.068103177
E02006013,327,0.042182663
E02006017,367,0.045047257
E02006018,333,0.027013872
E02006019,306,0.048242157
E02006022,462,0.072893657
E02006023,697,0.069470747
E02006026,1136,0.158903343
E02006027,266,0.048442907
E02006028,398,0.042196777
E02006030,754,0.091405019
E02006036,481,0.074840517
E02006037,220,0.021288949
E02006042,1111,0.185506762
E02006043,247,0.036163982
E02006047,555,0.063999077
E02006051,621,0.076280555
E02006056,605,0.078337434
E02006061,488,0.052859619
E02006062,6585,0.59010664
E02006063,375,0.054347826
E02006064,5255,0.68638976
E02006065,8861,1
E02006066,2938,0.353720202
E02006067,180,0.026052974
E02006068,7956,1
E02006069,5910,0.570408262
E02006070,8291,1
E02006071,2253,0.234443288
E02006072,1079,0.114325069
E02006073,1984,0.265311581
E02006074,4314,0.391434534
E02006078,308,0.050442188
E02006080,252,0.034753827
E02006082,374,0.056367747
E02006090,583,0.083836641
E02006098,275,0.037816282
E02006103,862,0.109432525
E02006105,2319,0.204371199
E02006108,652,0.073159785
E02006113,722,0.096588629
E02006114,1509,0.228636364
E02006116,676,0.084574002
E02006117,190,0.034062388
E02006136,288,0.033016164
E02006138,915,0.121352785
E02006141,8893,0.729891661
E02006143,3653,0.466062771
E02006145,283,0.047190262
E02006147,534,0.065201465
E02006154,325,0.033268502
E02006156,473,0.06007112
E02006157,627,0.084626805
E02006167,1059,0.103327154
E02006169,513,0.053465347
E02006174,333,0.031814273
E02006177,645,0.065243779
E02006189,354,0.047721758
E02006197,251,0.026080632
E02006198,371,0.039918227
E02006199,401,0.049561241
E02006207,253,0.040570879
E02006217,1291,0.140539952
E02006218,855,0.103186097
E02006221,2698,0.447132913
E02006227,223,0.035566188
E02006228,190,0.03104068
E02006235,274,0.033414634
E02006239,438,0.056743101
E02006240,806,0.076871722
E02006243,567,0.063238903
E02006251,1300,0.118960469
E02006255,803,0.097831384
E02006256,390,0.039983596
E02006261,420,0.05204461
E02006262,207,0.022702347
E02006267,313,0.036331979
E02006274,309,0.045307918
E02006278,170,0.019333561
E02006281,267,0.030340909
E02006287,198,0.03204402
E02006288,662,0.069232378
E02006289,353,0.037052587
E02006290,274,0.033706483
E02006293,94,0.00820889
E02006305,325,0.032422187
E02006308,463,0.059850052
E02006309,294,0.042614872
E02006310,347,0.040718141
E02006311,292,0.034470547
E02006316,357,0.049542048
E02006317,334,0.057133082
E02006318,612,0.094663573
E02006319,259,0.038172439
E02006321,947,0.146617123
E02006324,1217,0.157093068
E02006325,801,0.084280303
E02006328,269,0.028788527
E02006332,716,0.111422347
E02006334,735,0.080222659
E02006344,178,0.020450368
E02006345,420,0.058075221
E02006347,292,0.038752488
E02006358,202,0.021200672
E02006361,331,0.058019281
E02006369,416,0.066891783
E02006372,302,0.046404425
E02006374,750,0.105292714
E02006382,308,0.046343665
E02006388,742,0.081440018
E02006389,330,0.047190047
E02006392,304,0.033122685
E02006393,213,0.03126376
E02006395,5349,0.549573616
E02006396,3097,0.504479557
E02006398,2758,0.326274695
E02006399,566,0.047439443
E02006401,324,0.030612245
E02006402,556,0.055952501
E02006406,1244,0.141992923
E02006411,2792,0.393239437
E02006414,1698,0.27400355
E02006415,2741,0.41789907
E02006417,516,0.085078318
E02006431,1053,0.091804708
E02006433,298,0.03131897
E02006438,954,0.116540435
E02006441,292,0.034548036
E02006442,375,0.059722886
E02006445,578,0.07126125
E02006448,308,0.041734417
E02006451,1045,0.09164255
E02006456,1205,0.158657011
E02006468,257,0.023340296
E02006471,715,0.102922125
E02006473,233,0.022933071
E02006475,277,0.032653542
E02006478,319,0.040886952
E02006479,1459,0.157832107
E02006483,433,0.052985805
E02006486,239,0.034348951
E02006494,369,0.048693587
E02006502,286,0.02665424
E02006503,390,0.045753168
E02006505,194,0.028613569
E02006509,762,0.124897558
E02006511,497,0.049739792
E02006512,707,0.057400341
E02006513,381,0.045898085
E02006514,263,0.02808029
E02006515,178,0.016864045
E02006526,856,0.101807802
E02006529,1607,0.127691696
E02006530,378,0.03250215
E02006536,324,0.043736501
E02006538,2274,0.24790145
E02006540,3559,0.618311327
E02006541,437,0.055647523
E02006542,727,0.128695344
E02006545,264,0.024802706
E02006551,215,0.026668321
E02006552,3237,0.443424658
E02006554,278,0.041930618
E02006555,568,0.071708118
E02006556,560,0.056022409
E02006558,1251,0.105542901
E02006567,271,0.037057295
E02006568,234,0.019657258
E02006569,1192,0.138830655
E02006570,584,0.063019316
E02006572,144,0.013478098
E02006574,1448,0.134559985
E02006582,976,0.125951736
E02006583,1445,0.157014017
E02006584,293,0.0381163
E02006600,295,0.029813037
E02006603,227,0.026343275
E02006616,301,0.033259669
E02006630,160,0.018279447
E02006631,1033,0.100408243
E02006632,375,0.045137217
E02006633,806,0.09972779
E02006634,481,0.055716437
E02006635,186,0.021797726
E02006636,620,0.088736224
E02006641,321,0.039304518
E02006642,218,0.038563595
E02006645,312,0.039826398
E02006648,206,0.03372074
E02006653,273,0.02825502
E02006658,308,0.040848806
E02006661,366,0.033873207
E02006662,288,0.046541694
E02006663,322,0.026064433
E02006664,570,0.089020772
E02006665,289,0.042910171
E02006669,541,0.052519173
E02006670,946,0.140314447
E02006671,336,0.055009823
E02006672,242,0.026675485
E02006673,285,0.057137129
E02006674,262,0.043944985
E02006676,617,0.097734833
E02006679,150,0.013141756
E02006680,295,0.039832568
E02006682,170,0.016983017
E02006691,364,0.024907623
E02006710,324,0.039517014
E02006712,429,0.058303887
E02006720,277,0.038806388
E02006723,367,0.041785267
E02006737,245,0.02998776
E02006740,77,0.009893357
E02006746,241,0.028924628
E02006755,463,0.080929907
E02006761,187,0.027931292
E02006765,561,0.090586146
E02006767,659,0.072369866
E02006769,228,0.032524964
E02006771,627,0.091747147
E02006773,291,0.034482759
E02006777,430,0.060958322
E02006779,644,0.081200353
E02006784,300,0.037110341
E02006787,1381,0.169489445
E02006791,239,0.03521438
E02006792,2874,0.321440555
E02006798,2854,0.343276401
E02006801,11332,1
E02006802,8051,0.965231987
E02006804,556,0.066119634
E02006805,1005,0.105656013
E02006810,204,0.019538358
E02006813,7829,1
E02006814,3380,0.415437561
E02006821,378,0.057490494
E02006822,287,0.031260211
E02006826,370,0.037739698
E02006833,706,0.058902052
E02006840,251,0.022932846
E02006845,9897,1
E02006846,9249,1
E02006848,936,0.114790287
E02006849,558,0.058088695
E02006853,11106,1
E02006854,8087,0.965150973
E02006856,1799,0.141308617
E02006857,6407,0.715226613
E02006858,7154,0.97029703
E02006859,319,0.03907877
E02006864,8613,1
E02006865,8143,1
E02006870,1141,0.078771143
E02006872,303,0.023229071
E02006875,3239,0.238214312
E02006876,1204,0.143094842
E02006879,839,0.11055475
E02006884,251,0.020009566
E02006887,267,0.027488932
E02006901,300,0.019278967
E02006904,2349,0.191411343
E02006905,4031,0.517990234
E02006912,837,0.046353215
E02006917,501,0.068191098
E02006918,1276,0.135026455
E02006927,750,0.071688014
E02006928,10005,0.824202982
E02006929,8239,0.632844304
E02006930,5235,0.573572916
E02006931,2129,0.217111972
E02006933,689,0.080688605
E02006934,841,0.100346021
W02000003,293,0.027334639
W02000007,287,0.039877727
W02000009,367,0.046180949
W02000010,757,0.078903481
W02000017,371,0.046625613
W02000019,2161,0.307790913
W02000021,1091,0.129572447
W02000022,922,0.155114401
W02000023,213,0.036249149
W02000024,732,0.121918721
W02000025,1522,0.229978846
W02000026,1553,0.208540352
W02000027,7106,0.802122136
W02000028,2066,0.294932191
W02000030,1503,0.250083195
W02000031,8351,1
W02000036,3030,0.278825803
W02000038,774,0.108448928
W02000040,271,0.038970377
W02000041,1079,0.125494301
W02000042,5551,0.956079917
W02000043,1566,0.299426386
W02000044,1337,0.256967134
W02000045,5580,0.585335152
W02000047,4195,0.762034514
W02000049,551,0.084847552
W02000051,593,0.110634328
W02000052,190,0.036328872
W02000053,367,0.055715804
W02000055,551,0.09790334
W02000057,1088,0.169867291
W02000058,882,0.176788936
W02000061,577,0.083105286
W02000063,185,0.02280572
W02000065,447,0.060866013
W02000066,4125,0.407407407
W02000068,2164,0.388928828
W02000072,2951,0.245855203
W02000073,930,0.091869999
W02000094,376,0.040967531
W02000095,805,0.121107266
W02000096,331,0.051064486
W02000097,1991,0.217738408
W02000099,275,0.040892193
W02000100,836,0.132888253
W02000102,798,0.1297772
W02000103,773,0.137202698
W02000104,308,0.0496614
W02000106,973,0.149646263
W02000108,304,0.042151969
W02000110,425,0.063518159
W02000111,645,0.07585558
W02000113,696,0.082857143
W02000114,1086,0.155967255
W02000116,646,0.086827957
W02000117,768,0.086926995
W02000118,239,0.03570895
W02000120,459,0.064675215
W02000123,221,0.026810627
W02000124,438,0.049335436
W02000129,229,0.031783484
W02000132,624,0.09080326
W02000136,348,0.040970097
W02000143,1080,0.194384449
W02000144,279,0.03654224
W02000149,249,0.038610637
W02000151,592,0.080358355
W02000152,1418,0.1657704
W02000159,262,0.042415412
W02000161,441,0.078919112
W02000162,275,0.033080717
W02000164,1196,0.162125525
W02000166,613,0.067817236
W02000167,3277,0.305918596
W02000168,1965,0.293897697
W02000179,218,0.032464631
W02000185,641,0.126255663
W02000192,768,0.074671852
W02000198,234,0.03158321
W02000201,1487,0.282484802
W02000202,343,0.027908869
W02000203,960,0.140391927
W02000206,308,0.045287458
W02000209,212,0.04148728
W02000211,237,0.02970297
W02000213,609,0.090557621
W02000214,254,0.025739765
W02000215,4160,0.425793245
W02000216,306,0.042405765
W02000220,258,0.031714813
W02000223,343,0.054418531
W02000226,330,0.031874819
W02000227,372,0.048979592
W02000231,261,0.030608655
W02000241,464,0.043604924
W02000242,355,0.044093901
W02000245,340,0.038702334
W02000251,176,0.018058691
W02000253,311,0.045381585
W02000256,918,0.090425532
W02000258,635,0.108324804
W02000260,251,0.04377398
W02000261,995,0.129371993
W02000265,591,0.063954118
W02000267,200,0.030623182
W02000268,1054,0.115178669
W02000272,275,0.027618761
W02000273,200,0.01973165
W02000277,303,0.041701073
W02000280,965,0.103142369
W02000282,636,0.053123956
W02000286,479,0.068107493
W02000302,283,0.02753454
W02000304,354,0.060741249
W02000306,3035,0.585342334
W02000308,1196,0.130767549
W02000311,997,0.10126968
W02000313,244,0.02282507
W02000316,399,0.05638779
W02000317,700,0.089308497
W02000320,1414,0.166666667
W02000321,555,0.061646118
W02000323,169,0.026193428
W02000324,708,0.095636904
W02000329,1122,0.146839419
W02000330,480,0.066042928
W02000335,372,0.049832552
W02000338,100,0.01167406
W02000339,972,0.08620078
W02000341,1505,0.175428372
W02000343,248,0.028810409
W02000344,279,0.032831254
W02000345,613,0.074783457
W02000346,891,0.113575526
W02000347,806,0.103585657
W02000350,683,0.077175141
W02000352,1995,0.294464945
W02000353,2066,0.291273086
W02000357,2463,0.308298911
W02000359,10963,0.924757486
W02000361,6574,0.56829184
W02000362,695,0.11009029
W02000365,4910,0.5995116
W02000366,3884,0.464204613
W02000374,294,0.049578415
W02000377,4007,0.53922756
W02000382,380,0.061191626
W02000386,401,0.050497418
W02000389,1172,0.134898711
W02000395,1995,0.282497876
W02000400,3213,0.482070518
W02000401,873,0.14487222
W02000403,1979,0.264148425
W02000406,1917,0.208279009
W02000408,7432,1
W02000410,8964,1
W02000412,4990,0.722350898
W02000414,1105,0.183159291
W02000417,1267,0.121151272
W02000419,599,0.054933969
W02000421,1184,0.102546336
W02000422,2885,0.301179664
W02000423,4038,0.37364671
95AA02W1,492,0.27749577
95AA08W1,316,0.182342758
95AA09W1,2336,0.989830508
95AA11S1,1114,0.397289586
95AA11S2,2735,0.957297865
95AA15S1,1449,0.475081967
95AA15S2,1127,0.617872807
95AA16W1,1817,1.004422333
95AA17W1,723,0.353027344
95BB02W1,1925,0.757277734
95BB04S1,1417,0.992992292
95BB04S2,807,0.42879915
95BB06W1,2937,1.000340599
95BB12S1,1598,0.962650602
95BB13S1,1036,0.760088041
95BB13S2,1424,1.003523608
95BB13S3,1454,1.020350877
95BB17S1,1711,1.004697592
95BB17S2,1150,0.598958333
95BB19S1,1870,0.972944849
95BB19S2,355,0.187533016
95BB19S3,1300,0.99009901
95BB22S2,655,0.416931891
95BB23S1,901,0.527208894
95DD01W1,283,0.138521782
95DD03W1,1387,0.370360481
95DD04W1,1956,0.978
95DD05W1,586,0.346335697
95DD06W1,2576,0.970976253
95DD08W1,2598,1.005029014
95DD11W1,2552,1.009094504
95DD13W1,1990,0.948974726
95DD18W1,1875,0.844214318
95DD20W1,1783,0.986718318
95DD21W1,2307,0.99183147
95DD24W1,2731,1.011106997
95FF01S1,2206,0.96967033
95FF01S2,277,0.087189172
95FF03W1,2811,0.877067083
95FF07W1,2521,0.904232425
95FF08W1,1559,0.671982759
95FF16W1,907,0.377287854
95FF17W1,1682,0.965002869
95GG01S1,1653,1.027985075
95GG01S2,1414,1.016534867
95GG01S3,1577,1.008957134
95GG02S1,1650,0.993377483
95GG02S2,1934,1.004153686
95GG02S3,2310,0.998271392
95GG03S1,1994,1.022564103
95GG03S2,1797,1.004471772
95GG03S3,2105,1.001427212
95GG04S1,1679,1.013888889
95GG04S2,1592,1.002518892
95GG04S3,1791,1.001117943
95GG05S1,1787,0.990027701
95GG05S2,2003,0.985728346
95GG05S3,2183,1.000917011
95GG06S1,1908,0.981481481
95GG06S2,1809,1
95GG06S3,1266,0.629537544
95GG07S1,1839,0.985530547
95GG07S2,1932,0.997418689
95GG07S3,1640,0.979104478
95GG09S1,2129,0.994395142
95GG09S2,1847,1.004896627
95GG09S3,2243,1.012184116
95GG10S1,1964,0.94377703
95GG10S2,2439,0.991463415
95GG11S1,1960,1.013967926
95GG11S2,1666,1.003010235
95GG11S3,1837,1.021690768
95GG12S1,1485,1.012269939
95GG12S2,2346,0.969822241
95GG12S3,2465,0.940480733
95GG12S4,1935,0.991799077
95GG12S5,2544,0.995305164
95GG13S1,1342,0.981711778
95GG13S2,1346,0.790834313
95GG13S3,1632,0.98135899
95GG14S1,1296,0.8
95GG14S2,1549,0.969336671
95GG14S3,1013,0.626468769
95GG15S1,1957,1.01980198
95GG15S2,2039,0.997553816
95GG15S3,1958,1.015560166
95GG16S1,2072,0.974600188
95GG16S2,1918,1.011603376
95GG16S3,1436,0.985586822
95GG17S1,2246,1.004023245
95GG17S2,1496,0.998664887
95GG17S3,1759,1.000568828
95GG18S1,2565,0.976027397
95GG18S2,2535,1.001976285
95GG19S1,1978,0.995971803
95GG19S2,2830,0.988819008
95GG20S1,2460,0.742305371
95GG20S2,2191,0.990058744
95GG21S1,1456,1.009009009
95GG21S2,1724,0.994806694
95GG21S3,2057,0.965274519
95GG22S1,1681,1.007189934
95GG22S2,1873,1.003213712
95GG22S3,1693,1.014379868
95GG23S1,804,0.574285714
95GG23S2,1557,1.016318538
95GG23S3,1298,0.8178954
95GG24S1,1281,1.00078125
95GG24S2,1561,1.011665587
95GG24S3,1571,0.998094028
95GG25S1,2453,1.007392197
95GG25S2,1740,1.014577259
95GG25S3,1468,1.011019284
95GG26S1,1672,0.840623429
95GG26S2,1842,0.99621417
95GG27S1,1100,0.68621335
95GG27S2,1714,0.99941691
95GG27S3,1661,0.9969988
95GG27S4,1577,0.991200503
95GG28S1,1752,0.782841823
95GG28S2,1679,1.015114873
95GG28S3,1745,0.993735763
95GG29S1,2596,0.966492926
95GG29S2,2829,0.984684998
95GG30S1,1591,1.005053696
95GG30S2,1667,0.993444577
95GG30S3,1413,1.006410256
95GG31S1,2247,0.986824769
95GG31S2,1913,0.998434238
95GG31S3,2075,1.013183594
95GG32S1,1499,0.398246546
95GG32S2,1550,0.988520408
95GG32S3,1601,0.996886675
95GG33S1,1960,0.988401412
95GG33S2,1672,1.025766871
95GG33S3,1952,1.020386827
95GG34S1,1472,0.983957219
95GG34S2,1479,1.013013699
95GG34S3,1878,1.006430868
95GG35S1,2010,0.992592593
95GG35S2,1417,1.012866333
