LAD19CD,LAD19NM,Extent of population living in highly clinically vulnerable areas,Extent of population living in highly health/wellbeing vulnerable areas,Extent of population living in highly economically vulnerable areas,Extent of population living in highly socially vulnerable areas,Extent of population living in highly socioeconomically vulnerable areas,Extent of population living in highly vulnerable areas,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Socioeconomic Vulnerability quintile,Vulnerability quintile,Vulnerability rank,LA spending power rank,Volunteer rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,Flooding incidents per capita,Flood incidents quintile,Total dwelling fires (three-year average),Dwelling fire incidents per capita,Fire incidents quintile
E07000197,Stafford,0.16756516973180668,0.1716320321336163,0.11751264660768788,0.38586099577026167,0.28376905706273337,0.2087351068280061,4,3,2,4,2,2,92,258,125.5,49.010686546158944,218,7,4,Stafford,1377,0.010133941713276421,2,6,4.4156608772446274e-5,1,109.5,8.058581100971445e-4,3
E07000198,Staffordshire Moorlands,0.6871406541598668,0.39674364269770734,0.2995286013747745,0.07830523288311636,0.07830523288311636,0.3678309351536712,5,3,2,3,2,4,192,302,125.5,77.3407859814689,291,10,5,Staffordshire Moorlands,253,0.0025712166021321786,1,NA,NA,NA,79.16666666666667,8.045638247778557e-4,3
E07000199,Tamworth,0.3652907030219331,0.11712616395837137,0.32430797415301993,0.7104239739388639,0.48692989548913357,0.4588468386595483,3,1,4,5,4,4,193,289,260,91.92193714032621,306,10,5,Tamworth,4844,0.06317327003834215,4,NA,NA,NA,74.33333333333333,9.694219115435109e-4,5
E07000200,Babergh,0.5564607723398166,0.8149595852630889,0.23326878261725803,0.16817289802771937,0.15820076251613047,0.337002877430225,4,5,2,3,2,4,249,269,125.5,53.49257854071781,239,8,4,Babergh,687,0.007516329143007188,1,6,6.56447960087964e-5,2,56.666666666666664,6.19978628971966e-4,1
E07000202,Ipswich,0.358240876381688,0.3280352553357917,0.4244775187248288,0.41920745334674264,0.34804016902477813,0.2014735135325444,3,3,4,4,3,4,201,129,260,50.18064833919807,227,8,4,Ipswich,2493,0.01812669051566181,3,17,1.2360759677747723e-4,4,109.16666666666667,7.937546655808588e-4,3
E07000203,Mid Suffolk,0.3339113531245009,0.3127924782539706,0.06220912647693013,0.15477362510507778,0.06220912647693013,0.10273713172709611,4,4,2,2,1,2,85,249,260,72.91530379308816,281,9,5,Mid Suffolk,940,0.009171358043963978,1,9,8.781087488901681e-5,3,56.333333333333336,5.496310317127348e-4,1
E07000207,Elmbridge,0.07145052918185411,0.1913144373383505,0.10013467422013379,0.07145052918185411,0.1715852034019879,0.14821483465811777,1,3,1,2,1,1,10,144,24.5,15.430054972942955,43,2,1,Elmbridge,5890,0.043110388945003145,4,44,3.220470481460337e-4,5,91.33333333333333,6.684915999394941e-4,1
E07000208,Epsom and Ewell,0.3406653817383013,0.13819937944149735,0.08714092683415074,0.3771671807258111,0.25408818594629906,0.13819937944149735,2,2,1,2,1,1,5,234,125.5,41.4980058243531,170,6,3,Epsom and Ewell,NA,NA,NA,13,1.6264638174356922e-4,4,72.16666666666667,9.028959396790446e-4,4
E07000209,Guildford,0.07487523537389884,0.059755627531459396,0.04431025972181839,0.2001532087899495,0.04431025972181839,0.056298980992501135,2,2,1,2,1,1,3,291,24.5,56.81888407252638,248,8,4,Guildford,1423,0.009622081425934315,2,NA,NA,NA,107.83333333333333,7.291504664534436e-4,2
E07000210,Mole Valley,0.39741136935722915,0.4562469575770883,0.08518904794104501,0.09920304353884378,0.09555334245783736,0.1264110357840207,3,4,1,1,1,2,72,235,24.5,32.152335578941305,120,4,2,Mole Valley,1468,0.016824636402186743,3,34,3.8967141530950225e-4,5,80,9.168739183752994e-4,5
E07000211,Reigate and Banstead,0.2501490355964968,0.28878847310822925,0.16325314358603724,0.29024782154768336,0.14050133166725023,0.09271663324882996,2,3,1,2,1,1,52,161,125.5,27.378882070386332,103,4,2,Reigate and Banstead,1684,0.011397091169961491,2,27,1.8273245937586714e-4,5,114.66666666666667,7.760489632752877e-4,3
E07000212,Runnymede,0.44305224282296646,0.1587345394736842,0.17128298444976073,0.5055468301435406,0.3764958133971292,0.10079551435406699,2,2,1,4,2,1,55,246,24.5,35.334681660710984,132,5,3,Runnymede,12863,0.14617045454545455,5,520,0.005909090909090909,5,63.5,7.215909090909091e-4,2
E07000213,Spelthorne,0.21629645544590126,0.1759795236273582,0.17330086799134867,0.1891322523797968,0.12085417830117,0.1252541929248797,3,2,2,4,2,3,172,224,125.5,38.97154298396494,148,5,3,Spelthorne,8475,0.0853182193408098,5,149,0.00149998993295347,5,101,0.0010167716995187952,5
E07000214,Surrey Heath,0.5009692610354339,0.12742187934900148,0.11551676353157574,0.19391498075927718,0.19724346591211922,0.08699957242838176,2,3,1,2,1,1,21,155,125.5,26.527604999540262,99,4,2,Surrey Heath,516,0.005805972500393816,1,NA,NA,NA,74.5,8.382654094560839e-4,4
E07000215,Tandridge,0.4785588995346554,0.4025231529381192,0.12003225410605235,0.07026606930602541,0.07026606930602541,0.2835397287334639,3,4,1,2,1,1,26,158,125.5,26.94930532142162,100,4,2,Tandridge,2305,0.026344061442808812,3,24,2.7429825363445184e-4,5,55.666666666666664,6.362195605132425e-4,1
E07000216,Waverley,0.29457099878906723,0.2532014925060442,0.09512438248714693,0.05769445107873577,0.05769445107873577,0.06942122442480694,2,3,1,1,1,1,13,247,24.5,35.64706809836345,133,5,3,Waverley,2598,0.02068306663482207,3,33,2.627179364700263e-4,5,81.33333333333333,6.475068333200647e-4,1
E07000217,Woking,0.21094651730099215,0.2878313502478705,0.3018539694397955,0.30051605656722885,0.19339141169915505,0.11772806089774436,2,2,1,2,1,1,4,148,24.5,15.958425512374468,46,2,1,Woking,1205,0.011910998645803474,2,5,4.9423230895450096e-5,2,82.33333333333334,8.138358687450783e-4,3
E07000218,North Warwickshire,0.36219770320172057,0.16432451406078805,0.43632005031854887,0.8106785293998295,0.6126775960719067,0.33521348861745726,3,2,3,5,4,4,191,214,260,63.71150045832907,267,9,5,North Warwickshire,1205,0.018581341557440248,3,NA,NA,NA,36,5.551272166538165e-4,1
E07000219,Nuneaton and Bedworth,0.4272156162698876,0.3112976075664172,0.5914855961566886,0.5257632277152205,0.5539828298772874,0.4167041628523995,4,2,4,5,4,4,206,202,260,61.24767198801659,258,9,5,Nuneaton and Bedworth,2727,0.021155606584847404,3,NA,NA,NA,87.66666666666667,6.801032308782383e-4,2
E07000220,Rugby,0.11424385005837916,0.34081009541971613,0.07066626863443849,0.38240268750313006,0.11316540694049058,0.19929159428601168,2,2,3,4,3,2,109,192,125.5,32.36250634315113,122,4,2,Rugby,1045,0.00974867996343079,2,7,6.530216243446462e-5,2,60.833333333333336,5.675068878233235e-4,1
E07000221,Stratford-on-Avon,0.36452857237151504,0.47443399806932285,0.13803161690085064,0.41195406803574225,0.20954973556323792,0.25318526662321267,4,5,2,3,2,2,115,151,125.5,25.977102068692965,97,4,2,Stratford-on-Avon,2982,0.02337356952500392,3,15,1.1757328734911428e-4,4,68,5.32998902649318e-4,1
E07000222,Warwick,0.2476855018993822,0.33046018832770147,0.13960644149887927,0.35171182655411726,0.28077058328986887,0.10329036021034309,3,3,1,4,2,1,38,173,125.5,29.182220326510816,109,4,2,Warwick,2841,0.019939080879256617,3,11,7.720165071165885e-5,3,75,5.263748912158558e-4,1
E07000223,Adur,0.6092624211894246,0.3925472863451588,0.3760343334341427,0.13053453985996008,0.25654073181042447,0.46776695884915753,5,4,3,2,1,4,198,142,125.5,24.7846302267262,91,3,2,Adur,6594,0.10324257464497644,5,6,9.394228812099767e-5,3,62.833333333333336,9.837845172671145e-4,5
E07000224,Arun,0.6125990832851178,0.6067766035183436,0.2814949914595156,0.16177193893528954,0.23754449300938216,0.4901702432860794,5,5,3,2,2,5,272,215,125.5,36.91308625616376,136,5,3,Arun,7100,0.044423032403786596,4,25,1.5641912818234715e-4,4,148.5,9.291296214031422e-4,5
E07000225,Chichester,0.22294540699575022,0.5734157785768769,0.22935079001852457,0.18719675275144382,0.21771870981802333,0.2685143075079002,4,5,2,2,1,3,160,231,125.5,40.71050834587888,162,6,3,Chichester,3873,0.032074534161490684,4,31,2.567287784679089e-4,5,100.5,8.322981366459628e-4,4
E07000226,Crawley,0.4130849955441392,0.26266707137614953,0.2906324186337357,0.16418763386304405,0.2451886064763502,0.1406562191085283,2,1,3,3,2,3,141,183,125.5,30.801149285882246,116,4,2,Crawley,2714,0.024135600455321572,3,10,8.892999430848036e-5,3,84.83333333333333,7.54422785050275e-4,3
E07000227,Horsham,0.24581643766771535,0.3478180674972975,0.20674391950329427,0.13033057710548332,0.1669215279985404,0.08114741630932418,3,4,1,1,1,2,90,171,24.5,19.257395761544363,68,3,2,Horsham,522,0.003670447274235851,1,10,7.031508188191285e-5,3,109.16666666666667,7.676063105442153e-4,3
E07000228,Mid Sussex,0.202754126760702,0.31829166731116176,0.11510459803895376,0.08593603890031794,0.0894901364126606,0.2269861112478222,3,4,1,1,1,1,37,242,24.5,34.12591076887108,127,5,3,Mid Sussex,301,0.0020104731625210396,1,11,7.347244115525395e-5,3,99.66666666666667,6.657048456188161e-4,1
E07000229,Worthing,0.6360411628936007,0.6170173525155765,0.3969592078355398,0.07225630538513975,0.2279231275188653,0.3708514332866932,5,5,3,1,1,3,140,172,125.5,29.026422609056965,108,4,2,Worthing,2374,0.021576914337650535,3,10,9.088843444671665e-5,3,124,0.0011270165871392866,5
E07000234,Bromsgrove,0.32382069457765955,0.2841813464150331,0.1499982396037935,0.18259816342664853,0.16208103903918641,0.1701332513237646,4,3,2,3,2,2,82,166,125.5,28.113168723786075,105,4,2,Bromsgrove,NA,NA,NA,5,5.0678072611542435e-5,2,71.5,7.246964383450569e-4,2
E07000235,Malvern Hills,0.8572346944069555,0.7314353295192456,0.08231664383649329,0.19567805614942455,0.0868427790508622,0.6686856490630645,5,5,2,3,2,4,216,194,125.5,32.724354161148355,124,4,2,Malvern Hills,1030,0.013186025373497369,2,40,5.120786552814512e-4,5,57.833333333333336,7.403803890944316e-4,2
E07000236,Redditch,0.32920405798645147,0.08258715833813787,0.3923257251247994,0.40187476274019357,0.2631759466085704,0.1831439176958504,3,1,4,4,3,5,303,199,260,60.67085317280463,255,9,5,Redditch,367,0.004318205885467531,1,5,5.883114285378108e-5,2,60.666666666666664,7.13817866625877e-4,2
E07000237,Worcester,0.3043340432422883,0.23288844787179697,0.14144526994533374,0.4638564482478438,0.20963441841100575,0.1188744783512205,3,2,3,4,3,2,108,280,125.5,59.06452517050665,254,9,5,Worcester,563,0.005525512557536976,1,37,3.631331520939043e-4,5,90.5,8.882040612026577e-4,4
E07000238,Wychavon,0.5468896778620023,0.18298907607482662,0.10901521413869208,0.12823689996941465,0.09172350441834128,0.23556996189232307,5,2,2,3,2,2,102,219,125.5,37.80529435286532,140,5,3,Wychavon,1211,0.009509973299827234,2,NA,NA,NA,85.5,6.714308151405685e-4,2
E07000239,Wyre Forest,0.8924101046882112,0.3641129103656015,0.1548143192974818,0.6551325450036403,0.5230181524837801,0.7750014581981463,5,3,3,5,4,4,235,245,260,71.6569200029592,278,9,5,Wyre Forest,2879,0.02848746314143793,3,17,1.6821357186677484e-4,4,87.83333333333333,8.691034546450034e-4,4
E07000240,St Albans,0.1640996690459975,0.18085202352641186,0.18641361857685135,0.18690631755370457,0.17177851973885097,0.07229755718304468,1,1,1,2,1,1,24,273,24.5,45.75200017506858,197,7,4,St Albans,1019,0.006914428015986646,1,NA,NA,NA,106.33333333333333,7.215252002288976e-4,2
E07000241,Welwyn Hatfield,0.11196878963576473,0.11193772420068142,0.1727497605238717,0.22640622011908204,0.26638679189460135,0.11694067423785703,2,2,2,3,2,1,58,230,125.5,40.45388912641441,158,6,3,Welwyn Hatfield,1061,0.008643866195232431,1,22,1.7923190979746793e-4,5,97,7.902497841070177e-4,3
E07000242,East Hertfordshire,0.10202200074982364,0.1601766349975746,0.06018777574231653,0.20768203212869957,0.16932258230736016,0.08302100750001332,2,2,1,2,1,1,8,216,125.5,37.13291459812133,137,5,3,East Hertfordshire,4864,0.03284156510583708,4,6,4.051179906147665e-5,1,104.33333333333333,7.044551725690107e-4,2
E07000243,Stevenage,0.201720179496991,0.36135002992816045,0.5309208577086905,0.15903794458912052,0.1641910760103303,0.20095485226044577,2,2,3,3,2,3,189,233,125.5,41.23249946137656,168,6,3,Stevenage,NA,NA,NA,NA,NA,NA,70,7.976844360371037e-4,3
E07000244,East Suffolk,0.616134044956136,0.5187799558634996,0.20837078688608698,0.09456634266401878,0.15927272511406734,0.4903362837524548,5,5,3,3,2,4,233,314,260,129.3027794567113,315,10,5,East Suffolk,3659,0.014739233592078922,2,33,1.3293104906766996e-4,4,157.66666666666666,6.351150122122009e-4,1
E07000245,West Suffolk,0.20223782997164533,0.28065354532960607,0.2154400058374591,0.24408821918952883,0.22077524929098702,0.27491503466432693,4,3,2,4,2,2,110,315,260,133.4003740044479,316,10,5,West Suffolk,2927,0.016362833392031574,3,12,6.708370369128079e-5,2,126,7.043788887584483e-4,2
E07000246,Somerset West and Taunton,0.43223874909610344,0.353686085021348,0.2805089630279799,0.18195083623686228,0.24953635323148574,0.39486056561861416,5,4,3,3,2,3,134,313,125.5,98.80982707225894,311,10,5,Somerset West and Taunton,6930,0.04503918994449716,4,53,3.4445556523208506e-4,5,132.5,8.611389130802127e-4,4
E08000001,Bolton,0.23172608679935405,0.1375140721215595,0.46113375929626854,0.5064718295676115,0.5101379307673751,0.3400334152946809,3,2,4,4,4,5,311,64,260,43.447763857602965,185,6,3,Bolton,1277,0.004474860883338239,1,15,5.256297043858542e-5,2,309.6666666666667,0.0010851333230543524,5
E08000002,Bury,0.1164469669871862,0.30540419960731463,0.31849307540423005,0.3385752336898804,0.325542558634261,0.267789860168126,3,3,4,4,3,5,282,91,125.5,18.99372365421828,66,3,2,Bury,3454,0.01816861994234856,3,33,1.7358554085046394e-4,4,187,9.83651398152629e-4,5
E08000003,Manchester,0.01948537676384223,0.0818668498237323,0.5571798630127902,0.38778336733810265,0.4997523525665231,0.2820597731091072,2,1,5,4,4,5,263,41,125.5,14.453759487928453,36,2,1,Manchester,5546,0.010127331194407873,2,16,2.921696702317453e-5,1,668.6666666666666,0.0012210257468435023,5
E08000004,Oldham,0.2742561768498607,0.1923913133312649,0.5987647752196472,0.5471423462592003,0.5247369068831409,0.3541839919568213,3,2,5,4,4,5,261,44,260,41.71845737106055,171,6,3,Oldham,514,0.002181450877036622,1,NA,NA,NA,252.83333333333334,0.0010730418224593242,5
E08000005,Rochdale,0.5355848382507352,0.12407064417649775,0.610274367173929,0.48872532636813376,0.5800099951698784,0.4010212154538053,4,3,5,4,4,5,308,30,260,40.58093031245026,160,6,3,Rochdale,1549,0.007040877086922332,1,11,4.999977272830578e-5,2,235,0.0010681769628319872,5
E08000006,Salford,0.1044810428834578,0.2648916411102597,0.5714333089492386,0.6276120599484624,0.652977149013851,0.43556977064607366,3,2,5,5,4,5,278,14,125.5,12.330102957366611,17,1,1,Salford,4947,0.01944514323448948,3,29,1.1399012609666363e-4,4,305.8333333333333,0.0012021372493527457,5
E08000007,Stockport,0.19845441467605265,0.19247529413886869,0.17783172866619465,0.18135423384096433,0.18192697148577897,0.11957527655141623,4,3,3,3,2,2,111,60,24.5,6.460905514784079,5,1,1,Stockport,2229,0.007639448204952447,1,10,3.427298432010967e-5,1,306.5,0.0010504669694113614,5
E08000008,Tameside,0.39456500425475427,0.1366774424170837,0.5479039989080905,0.5799010597271208,0.5550722840796934,0.48484447418318877,4,2,5,5,4,5,312,48,260,42.05407310567293,173,6,3,Tameside,209,9.280763065227334e-4,1,12,5.3286677886472736e-5,2,235.33333333333334,0.0010450109607736042,5
E08000009,Trafford,0.19049260414648753,0.23085850016588622,0.23319968915816636,0.19803252260617274,0.12747662562930998,0.08040802443982784,3,2,3,2,2,2,89,117,125.5,21.76394807099213,79,3,2,Trafford,1156,0.004890637559758006,1,5,2.115327664255193e-5,1,219,9.265135169437746e-4,5
E08000010,Wigan,0.4462025910990769,0.0941200163598073,0.45322305635288634,0.11814503737447689,0.28173668651277856,0.3452758796785885,4,2,5,3,3,5,289,96,260,46.51734534951071,203,7,4,Wigan,6483,0.01988113638036358,3,16,4.906650965383578e-5,2,298.3333333333333,9.148859612538128e-4,4
E08000011,Knowsley,0.49430819512226015,0.13044190595629818,0.7582523033419439,0.5433035323129413,0.7073885171238865,0.6820969727807494,4,2,5,5,5,5,316,2,260,38.46190243940242,142,5,3,Knowsley,NA,NA,NA,4,2.67431520816201e-5,1,170.5,0.0011399268574790568,5
E08000012,Liverpool,0.21757390283600447,0.10992865368018136,0.6241051342418299,0.43191301760810497,0.6005642524261642,0.48553728216429226,3,2,5,4,4,5,291,9,125.5,11.957477799563042,14,1,1,Liverpool,2117,0.004278375308701856,1,9,1.8188652705865233e-5,1,571.5,0.0011549794468224423,5
E08000013,St. Helens,0.8050491664403637,0.35133659521340826,0.663010800276299,0.21206374814341475,0.45039910188191457,0.6199150319021342,5,3,5,3,4,5,301,40,260,41.38766858698452,169,6,3,St. Helens,1402,0.007786769157284961,1,14,7.775661070042044e-5,3,169.33333333333334,9.404847199003235e-4,5
E08000014,Sefton,0.810060651417939,0.3475093186385767,0.4032149971982928,0.11196489495318127,0.25412456779940235,0.4745690798551521,5,4,4,1,3,5,276,27,260,40.34432533948864,157,6,3,Sefton,12442,0.045178579209574576,4,11,3.994248282473238e-5,1,316.3333333333333,0.00114864897577791,5
E08000015,Wirral,0.6101188478644752,0.3269369767636875,0.5000697064951115,0.10581718694155222,0.3056866724796119,0.46115745184577295,5,4,5,1,3,4,251,33,260,40.81999460297751,164,6,3,Wirral,9988,0.030900119108388635,4,11,3.4030968181044753e-5,1,319.6666666666667,9.889605601703612e-4,5
E08000016,Barnsley,0.6122725343818479,0.15426003068184574,0.6796131112409018,0.06079005430819778,0.45758067400034474,0.3068825192684524,4,2,5,2,3,5,274,61,260,43.1799326833038,184,6,3,Barnsley,336,0.0013703155396229186,1,6,2.446992035040926e-5,1,159.83333333333334,6.518514893345134e-4,1
E08000017,Doncaster,0.45576761546620187,0.13620308669155354,0.5671635822461848,0.1995409299665881,0.4429902693050419,0.3860623056665951,4,3,5,4,4,5,299,70,260,43.99296835116244,186,6,3,Doncaster,47030,0.15144489312234738,5,NA,NA,NA,252.83333333333334,8.141679171684775e-4,3
E08000018,Rotherham,0.4897969753511261,0.311770074426065,0.5535334334642672,0.1385980887095379,0.34440288230730937,0.46098439194320495,4,3,5,3,4,5,284,57,260,42.82760800512795,181,6,3,Rotherham,NA,NA,NA,5,1.8891378352747372e-5,1,208.5,7.877704773095655e-4,3
E08000019,Sheffield,0.27665172457225196,0.2367494113907478,0.3405061425163544,0.22718931560135727,0.3514685504933584,0.40707459168706095,3,3,3,3,3,4,213,66,125.5,16.611905158067977,50,2,1,Sheffield,2677,0.004595660817227633,1,16,2.746752823146886e-5,1,478.6666666666667,8.217368862581101e-4,4
E08000021,Newcastle upon Tyne,0.18491864262716778,0.21261818594307857,0.4323903295461,0.25180108644808197,0.34623243515990604,0.2742529792816062,3,2,4,3,3,4,190,25,125.5,13.171768827579061,28,1,1,Newcastle upon Tyne,325,0.0010826260176684567,1,NA,NA,NA,266.1666666666667,8.866429488289874e-4,4
E08000022,North Tyneside,0.5235848420234993,0.29852933849296637,0.3549234550804031,0.04298873321128391,0.16829780655975204,0.31859224547520704,5,3,4,2,3,4,204,35,24.5,4.35032379685518,1,1,1,North Tyneside,938,0.004553729640507804,1,37,1.7962472995606475e-4,5,179.66666666666666,8.722317968136838e-4,4
E08000023,South Tyneside,0.9201500331869836,0.2615957247459313,0.7212586535716725,0.1108293243340274,0.5001954617018705,0.5881463449659987,5,3,5,3,3,5,304,10,260,39.047682795462336,149,5,3,South Tyneside,NA,NA,NA,6,3.9929457957608227e-5,1,128,8.518284364289754e-4,4
E08000024,Sunderland,0.5724632004679256,0.22812627883199962,0.6438588934044379,0.04976591386366296,0.36338345295501373,0.47641966122441937,5,3,5,2,4,5,294,22,260,39.95531352349301,155,5,3,Sunderland,814,0.002934210953185998,1,10,3.604681760670759e-5,1,252.66666666666666,9.107829248628118e-4,4
E08000025,Birmingham,0.10864832994913885,0.08275189192564124,0.415730717169786,0.8582643260159293,0.752859293872307,0.4180122816885613,2,2,4,5,5,5,314,50,260,42.22373550731461,174,6,3,Birmingham,14501,0.012704862735615144,2,121,1.0601257782286963e-4,3,1109.8333333333333,9.723660547141719e-4,5
E08000026,Coventry,0.169041098937209,0.06494764966999884,0.2458717390009779,0.8470998426584339,0.5849520477721424,0.29406774225256005,2,2,3,5,4,5,295,95,260,46.41495361972491,202,7,4,Coventry,2502,0.006821434900554821,1,NA,NA,NA,278.1666666666667,7.583916099804154e-4,3
E08000027,Dudley,0.505179358012467,0.17894067099657346,0.37003034688390835,0.7566501813721643,0.5684759780784103,0.7265108191311274,5,2,4,5,4,5,293,87,260,45.61182704517858,196,7,4,Dudley,NA,NA,NA,19,5.925907443563529e-5,2,273.3333333333333,8.524989655652796e-4,4
E08000028,Sandwell,0.08402107848291256,0.023315121647565936,0.6718391600117166,0.9888955419632415,0.9427117405889409,0.7735499379278613,3,2,5,5,5,5,317,36,260,41.06156987377136,166,6,3,Sandwell,755,0.0023062026159363183,1,20,6.109146002480314e-5,2,281.1666666666667,8.588441088486908e-4,4
E08000029,Solihull,0.43915396504420107,0.22094090742446434,0.19945293858771557,0.5939108988847421,0.36844086517892155,0.3494264279789414,3,3,3,5,4,4,252,100,125.5,19.915371007332716,70,3,2,Solihull,140,6.514385158369356e-4,1,22,1.0236890963151846e-4,3,159,7.398480287005198e-4,2
E08000030,Walsall,0.29926357429968004,0.12150611736378897,0.5968774086760068,0.9222934607336825,0.8326450796054071,0.8045253113657748,4,2,5,5,5,5,307,31,260,40.66034263364268,161,6,3,Walsall,3675,0.01296854378250958,2,17,5.999054266739126e-5,2,253.66666666666666,8.951529994095048e-4,4
E08000031,Wolverhampton,0.10834697293292772,0.28402180166455343,0.5450904572620523,0.8440366023375743,0.790175520956371,0.7363604506250513,3,3,5,5,5,5,313,20,260,39.801532571435736,153,5,3,Wolverhampton,2452,0.009358492870446704,2,9,3.43500961802693e-5,1,255.83333333333334,9.764332895687664e-4,5
E08000032,Bradford,0.10331911105380438,0.19448024536249078,0.4345517424701069,0.4290948755409288,0.4327958492642819,0.28501222824715783,3,2,4,4,4,5,262,73,260,44.27049489013831,189,7,3,Bradford,4562,0.008492608526489604,1,27,5.0263136829289635e-5,2,465.1666666666667,8.659531783367122e-4,4
E08000033,Calderdale,0.41788929285256526,0.16062467337315403,0.3462026356625658,0.2678496967850649,0.2565054672887128,0.1960356707831879,3,3,4,3,3,3,186,81,260,45.0273665344421,193,7,4,Calderdale,8854,0.04214544796793633,4,77,3.665235479479441e-4,5,169.5,8.068278100932017e-4,3
E08000034,Kirklees,0.10542716109394487,0.10359257099457485,0.3599240170094986,0.4852813516809938,0.4437673805782351,0.3072981003772517,3,2,4,4,4,4,208,103,260,47.247142064977766,207,7,4,Kirklees,5085,0.011590351175104336,2,NA,NA,NA,294.5,6.712602597970948e-4,2
E08000035,Leeds,0.11926542843244599,0.15458220665641148,0.22121984748463555,0.305578379567268,0.26817009039068906,0.14703957788779304,3,2,3,4,3,4,222,97,125.5,19.604033592658606,69,3,2,Leeds,10196,0.012919510285177028,2,25,3.1677889086840495e-5,1,646.6666666666666,8.194013977129408e-4,4
E08000036,Wakefield,0.4234526342026096,0.07209163231753878,0.43793801811608235,0.2381501076464194,0.379505026296112,0.21988798487794325,4,2,4,3,3,5,296,71,260,44.08510561581164,188,6,3,Wakefield,5999,0.01738649076333621,3,12,3.4778777989670704e-5,1,231.16666666666666,6.699745148843509e-4,1
E08000037,Gateshead,0.657559025608345,0.24440526326185422,0.5499853806945119,0.26761005153272693,0.46754648029499546,0.4187981397486051,5,3,5,3,3,5,269,18,125.5,12.632611638592355,23,1,1,Gateshead,NA,NA,NA,31,1.5308037213344658e-4,4,174.33333333333334,8.608713400622857e-4,4
E09000001,City of London,1,1,1,1,1,1,1,1,1,5,2,1,18,NA,NA,NA,NA,NA,NA,City of London,385,0.04422237537330577,4,NA,NA,NA,5,5.743165632896852e-4,1
E09000002,Barking and Dagenham,0.2575537579550154,0.031066330814441646,0.5923168962368562,0.8915372960320876,0.7533975121910287,0.4304686340139256,1,1,4,5,4,5,288,84,260,45.31774035014623,194,7,4,Barking and Dagenham,22136,0.10441607939697545,5,19,8.962348701402844e-5,3,190.33333333333334,8.978072120177235e-4,4
E09000003,Barnet,0.19253285614965654,0.2084933213970306,0.09335476320218611,0.3130508706611226,0.10745614482475377,0.1155381737993681,1,3,2,4,2,2,96,105,125.5,20.4438191770597,72,3,2,Barnet,6161,0.015711225582700057,2,66,1.683072372112001e-4,4,322,8.211353088182792e-4,4
E09000004,Bexley,0.20483648871347251,0.08280696361907931,0.19633097923285756,0.5034164931494952,0.2606450602843567,0.08021540253500391,2,2,2,5,3,3,157,115,260,48.55475869829047,216,7,4,Bexley,27872,0.11272436078913524,5,NA,NA,NA,178,7.198958173244142e-4,2
E09000005,Brent,0.16843709850511646,0.047515833068819055,0.16679655312043315,0.6691497675854262,0.31946740746574637,0.06473453506345558,1,1,3,5,4,2,120,52,125.5,15.378497396878966,42,2,1,Brent,6086,0.018398101543251864,3,22,6.650644659078886e-5,2,299.6666666666667,9.058984164411998e-4,4
E09000006,Bromley,0.12699863324740923,0.1955333673299396,0.10994364172324642,0.17538338379837043,0.11491616996437985,0.13489880657923348,2,2,2,3,2,2,93,118,125.5,21.877456862582694,80,3,2,Bromley,6240,0.01884649769251214,3,26,7.852707371880058e-5,3,241.16666666666666,7.283889466096439e-4,2
E09000007,Camden,0.2337749940087839,0.1019589369876607,0.18581718581842016,0.21197492560655792,0.1552510550360938,0.037959622615606384,1,2,2,4,2,1,39,7,125.5,11.810101806603146,13,1,1,Camden,NA,NA,NA,48,1.8304821032239367e-4,5,257.6666666666667,9.826129623556272e-4,5
E09000008,Croydon,0.06388209693707937,0.06678012815277151,0.20406250076827742,0.5866439443212621,0.49006280616708914,0.20664480752362813,1,2,3,4,3,3,174,69,125.5,16.88503735852646,54,2,1,Croydon,10517,0.02729235544160313,3,51,1.3234859061726344e-4,4,372.6666666666667,9.670962373209185e-4,5
E09000009,Ealing,0.06135380624834363,0.08267182575629557,0.24645054418068785,0.5076244163666355,0.3489430730272354,0.17954023588191315,1,1,3,5,3,3,167,74,125.5,17.347591567679366,56,2,1,Ealing,3662,0.010708165926861647,2,34,9.942043733295904e-5,3,285.8333333333333,8.358139707158076e-4,4
E09000010,Enfield,0.2128695055466917,0.09758062215073009,0.38143929284587036,0.546371465265844,0.3980948799489746,0.1371104109380436,1,2,3,5,3,3,169,98,260,46.723506526628924,205,7,4,Enfield,9660,0.028933503859298108,3,27,8.087004184275869e-5,3,273.5,8.191835719997963e-4,3
E09000011,Greenwich,0.08778920738702507,0.17695945441444594,0.34793690485429607,0.5142929956851764,0.34732685809412867,0.08793967081401238,1,1,3,5,3,3,143,29,125.5,13.485629881067528,31,1,1,Greenwich,65746,0.22973171294193287,5,29,1.0133269971277421e-4,3,256,8.945231422920757e-4,4
E09000012,Hackney,0.02382850910911269,0.03716044666221899,0.2890650844478403,0.5116515059841332,0.33269323165780107,0.09658091871195518,1,1,3,5,3,2,91,11,260,39.121965574571796,150,5,3,Hackney,4331,0.015486385496933831,2,13,4.648418643734468e-5,1,295.3333333333333,0.0010560253636791638,5
