LAD19CD,LAD19NM,Extent of population living in highly clinically vulnerable areas,Extent of population living in highly health/wellbeing vulnerable areas,Extent of population living in highly economically vulnerable areas,Extent of population living in highly socially vulnerable areas,Extent of population living in highly socioeconomically vulnerable areas,Extent of population living in highly vulnerable areas,Clinical Vulnerability quintile,Health/Wellbeing Vulnerability quintile,Economic Vulnerability quintile,Social Vulnerability quintile,Socioeconomic Vulnerability quintile,Vulnerability quintile,Vulnerability rank,LA spending power rank,Volunteer rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,Flooding incidents per capita,Flood incidents quintile,Total dwelling fires (three-year average),Dwelling fire incidents per capita,Fire incidents quintile
E07000130,Charnwood,0.07590216980667203,0.19381772090909588,0.10536148027630549,0.2097593176449772,0.16421111417528067,0.1005131091225707,3,3,2,3,2,2,74,292,125.5,67.23665555706474,272,9,5,Charnwood,7045,0.03857251578215426,4,15,8.212742891871028e-5,3,108.66666666666667,5.949675961666567e-4,1
E07000131,Harborough,0.4760599972346785,0.4878233960993034,0.07302781651693532,0.12070409296032218,0.07302781651693532,0.1099872203454831,3,4,1,1,1,3,153,182,24.5,21.019753879824293,76,3,2,Harborough,948,0.010248759446048066,2,NA,NA,NA,49.833333333333336,5.387445630042848e-4,1
E07000132,Hinckley and Bosworth,0.5219195407195661,0.21225765284028317,0.3564713532583939,0.1451111099667281,0.18699507545983518,0.2359777709843041,4,3,2,3,2,4,230,301,125.5,76.10578144146247,290,10,5,Hinckley and Bosworth,NA,NA,NA,NA,NA,NA,60.166666666666664,5.351811165568137e-4,1
E07000133,Melton,0.794828715624678,0.21179560201874545,0.36176125244618396,0.4130504171387372,0.36176125244618396,0.3865319291379133,4,3,2,3,2,3,173,205,125.5,34.82316848009738,130,5,3,Melton,1110,0.02172211350293542,3,NA,NA,NA,33.166666666666664,6.49054142204827e-4,1
E07000134,North West Leicestershire,0.6837821854736719,0.09635955378134543,0.13065215105798098,0.2036779901401468,0.06873861700252629,0.11377779461284666,4,2,2,2,1,2,86,176,125.5,29.656047430604303,111,4,2,North West Leicestershire,1865,0.018261755086853494,3,7,6.854278048684958e-5,3,45,4.406321602726044e-4,1
E07000135,Oadby and Wigston,0.35640234340407945,0.4971497070283673,0.14184310151430174,0.21657835699737282,0.1556490207220238,0.2394794495527939,3,4,2,4,2,4,205,265,125.5,51.76008925783619,235,8,4,Oadby and Wigston,453,0.007939568143578239,1,NA,NA,NA,32.5,5.696158160403814e-4,1
E07000136,Boston,0.19495141712077962,0.4028088233731981,0.6387436132065307,0.19972153808099524,0.3113942519996904,0.1057866966525387,4,3,3,3,2,3,149,164,260,54.83279643872034,244,8,4,Boston,66489,0.9585243491047487,5,49,7.06397947121068e-4,5,47.166666666666664,6.799680919566742e-4,2
E07000137,East Lindsey,0.9964058092524566,0.7859987681740143,0.488569054990522,0.3394129156244075,0.405099269692481,0.9382382682037441,5,5,5,4,3,5,298,211,125.5,36.05419980953413,134,5,3,East Lindsey,54321,0.38596428901315183,5,NA,NA,NA,119.5,8.490773832785045e-4,4
E07000138,Lincoln,0.2642193851332357,0.23218171363646747,0.33094833454763434,0.20181898040165996,0.2362743331840035,0.1442505371355569,3,3,4,3,3,3,150,179,125.5,30.139841625144406,114,4,2,Lincoln,6227,0.06287422126636981,4,NA,NA,NA,101.33333333333333,0.001023165958191554,5
E07000139,North Kesteven,0.6509640538817406,0.4358220323408426,0.21720301853914867,0.2652673553522121,0.15984523860844072,0.2608629518789861,5,4,2,2,1,3,162,259,125.5,49.383902398729575,220,7,4,North Kesteven,3224,0.027796697848859766,3,18,1.551924817864379e-4,4,73.66666666666667,6.351396013852366e-4,1
E07000140,South Holland,0.7863814809421936,0.46160482073453474,0.2204253144566033,0.4407804572081406,0.22136487606545624,0.4552347363940816,5,4,3,4,2,5,264,223,260,65.7496756927607,271,9,5,South Holland,73749,0.7847307937859119,5,NA,NA,NA,69.66666666666667,7.412924735759382e-4,2
E07000141,South Kesteven,0.6437718883929879,0.4342918744274558,0.16442028385945867,0.21009369595730493,0.15793115333998464,0.25003365233171326,5,3,3,3,2,4,209,281,24.5,50.03067793733392,225,8,4,South Kesteven,1384,0.009756578993747048,2,NA,NA,NA,103.5,7.296285591422106e-4,2
