LAD19CD,Name,Total people in flood risk areas,% people in flood risk areas,Flood risk quintile,Total historical flooding incidents,"Flooding incidents per 10,000 people",Flood incidents quintile,Total dwelling fires (three-year average),"Dwelling fire incidents per 10,000 people",Fire incidents quintile
E07000149,South Norfolk,1931,0.013991030090496098,2,5,0.3622742125969989,1,86.5,6.267343877928082,1
E07000150,Corby,481,0.006791195448063591,1,10,1.4118909455433661,4,52.5,7.412427464102673,2
E07000151,Daventry,386,0.004568912456796553,1,22,2.604043369158657,5,58.333333333333336,6.9046604485267435,2
E07000152,East Northamptonshire,326,0.0034715566630460245,1,6,0.6389368091495751,2,66,7.028304900645326,2
E07000153,Kettering,NA,NA,NA,11,1.0862480990658265,3,90.66666666666667,8.95331766502742,4
E07000154,Northampton,3343,0.014848142982775621,2,92,4.08623737485898,5,183.33333333333334,8.142864333958114,3
E07000155,South Northamptonshire,1269,0.013716694590066476,2,13,1.4051775387774956,4,57,6.161163054639789,1
E07000156,Wellingborough,213,0.0026799869146178815,1,13,1.6356727647902565,4,68.5,8.618737260625581,4
E07000163,Craven,4270,0.07513372747747747,5,NA,NA,NA,46.666666666666664,8.211336336336336,4
E07000164,Hambleton,2942,0.032282134000482805,4,8,0.8778282529023197,3,54.333333333333336,5.961916884294921,1
E07000165,Harrogate,2032,0.012657833591847158,2,25,1.5573122037213531,4,113,7.039051160820517,2
E07000166,Richmondshire,2288,0.04297197806325596,4,NA,NA,NA,38.66666666666667,7.262164124909224,2
E07000167,Ryedale,3339,0.060797523670793885,4,NA,NA,NA,43.333333333333336,7.890264627336733,3
E07000168,Scarborough,996,0.009159799882283695,1,NA,NA,NA,101.33333333333333,9.319207376888365,5
E07000169,Selby,15135,0.1698538818934752,5,13,1.4589365474827733,4,54.16666666666667,6.078902281178223,1
E07000170,Ashfield,1704,0.013401388899812034,2,NA,NA,NA,91,7.156845011049854,2
E07000171,Bassetlaw,3875,0.03316529583443884,4,NA,NA,NA,106.5,9.115107113207063,4
E07000172,Broxtowe,10333,0.09122289709725263,5,5,0.4414153541916802,1,93.5,8.25446712338442,4
E07000173,Gedling,8279,0.07028848929414362,4,NA,NA,NA,84,7.131577606846315,2
E07000174,Mansfield,NA,NA,NA,NA,NA,NA,83,7.625802776527228,3
E07000175,Newark and Sherwood,5501,0.045251139298817106,4,24,1.9742362173634076,5,79.16666666666667,6.5122375225529074,1
E07000176,Rushcliffe,19210,0.16325177826312345,5,13,1.1047751782512258,4,58,4.9289969491208545,1
E07000177,Cherwell,1931,0.012945743190244099,2,6,0.40224991787397507,1,120.33333333333333,8.067345575139166,3
E07000178,Oxford,5203,0.033714126497631655,4,29,1.879126789220292,5,125,8.099684436294362,3
E07000179,South Oxfordshire,1621,0.011537038091442237,2,10,0.7117235096509708,3,95.66666666666667,6.8088215756609545,2
E07000180,Vale of White Horse,1464,0.010947267669667693,2,5,0.3738820925432956,1,90.83333333333333,6.792191347869869,2
E07000181,West Oxfordshire,1024,0.009326047358834244,2,NA,NA,NA,72.66666666666667,6.618093503339406,1
E07000187,Mendip,1781,0.015502998755233676,2,11,0.9575125564714791,3,85.33333333333333,7.427976195657536,2
E07000188,Sedgemoor,56469,0.45987898135856864,5,21,1.7102230619507943,4,93,7.573844988639232,3
E07000189,South Somerset,1792,0.010675499371503803,2,29,1.7276198759688075,4,147,8.757245578186714,4
E07000192,Cannock Chase,NA,NA,NA,5,0.4994555934031905,2,73.16666666666667,7.308700183466688,2
