LAD19CD,LA spending power rank,Volunteer rank,Emergency response rank,Capacity score,Capacity rank,Capacity decile,Capacity quintile
E07000235,194,125.5,291.5,88.18219762365439,250,8,4
E08000003,41,125.5,59.5,19.111219281376428,26,1,1
E07000174,288,125.5,137.5,77.01575743872698,221,8,4
E06000035,113,260,125,59.646139682868714,173,6,3
E07000133,205,125.5,162,50.973487941957806,133,5,3
E07000187,255,125.5,259.5,86.12530512749478,246,8,4
E09000024,102,125.5,26,22.001572505217883,30,1,1
E07000042,160,125.5,259.5,65.4340461950911,190,7,4
E07000203,249,260,313,160.35157435634088,314,10,5
E07000228,242,24.5,220,60.786215362935835,174,6,3
E06000002,16,125.5,7.5,12.95416081554654,7,1,1
E06000042,104,260,278,93.92560078167048,264,9,5
E07000210,235,24.5,172,49.80520167899205,122,4,2
E07000091,287,125.5,110,73.08467380180316,212,7,4
E07000175,254,260,137.5,87.42899780485503,248,8,4
E08000021,25,125.5,3,13.316365240776694,8,1,1
E07000195,294,260,241,128.02336821513023,300,10,5
E09000025,72,125.5,26,19.03772907539085,25,1,1
E07000043,165,125.5,259.5,66.16367370967416,192,7,4
E07000038,279,260,212,110.40692113338184,286,10,5
E06000012,53,260,80.5,49.07020653061096,118,4,2
E07000099,196,24.5,98.5,31.863327489356593,53,2,1
E07000139,259,125.5,249,83.90948832809957,237,8,4
E06000013,90,260,80.5,52.49933025788144,143,5,3
E07000147,240,125.5,202,66.01677392603438,191,7,4
E06000024,83,125.5,154.5,33.28889055082276,56,2,1
E08000022,35,24.5,3,4.494920210052812,1,1,1
E07000218,214,260,194,85.0622981104712,243,8,4
E07000134,176,125.5,162,45.80636689246473,101,4,2
E07000154,198,24.5,232,53.4477785919062,147,5,3
E07000148,168,24.5,202,41.65725223853791,76,3,2
E06000018,47,125.5,137.5,27.790796147162833,43,2,1
E07000219,202,260,194,82.59846964015873,232,8,4
E07000135,265,125.5,162,67.91040871969662,198,7,4
E08000004,44,260,59.5,46.37591716450853,105,4,2
E07000178,130,24.5,302,79.63809326543561,222,8,4
E07000122,136,260,71.5,56.780424452686134,166,6,3
E06000031,89,24.5,307.5,83.46229373227447,235,8,4
E06000026,65,125.5,259.5,54.72082684618191,154,5,3
E06000044,94,260,110,55.92415426533822,163,6,3
E07000123,126,260,71.5,55.56403268071022,160,6,3
E06000038,42,24.5,148,19.12117595226237,27,1,1
E09000026,116,260,26,50.54343503446624,130,5,3
E06000003,24,125.5,7.5,13.567269103979,9,1,1
E07000236,199,260,291.5,116.12869663531066,290,10,5
E07000211,161,125.5,172,45.03174817043707,94,4,2
E07000124,189,125.5,71.5,37.571784883291066,65,3,2
E09000027,49,24.5,26,7.384586097651583,2,1,1
E07000166,154,24.5,291.5,72.2323051587384,211,7,4
E08000005,30,260,59.5,45.23839010589824,96,4,2
E07000075,209,260,184.5,82.3332223745818,231,8,4
E07000125,185,260,71.5,63.89682941943604,187,6,3
E07000064,218,125.5,85.5,44.65357249372681,92,3,2
E08000018,57,260,125,54.14215316892282,152,5,3
E07000220,192,125.5,194,53.71330399529326,149,5,3
E07000212,246,24.5,172,52.98754776076173,145,5,3
E07000176,274,24.5,137.5,59.08253468638539,170,6,3
E07000092,232,125.5,110,50.58116166047026,131,5,3
E06000017,26,125.5,162,29.400152936527043,49,2,1
E07000167,132,260,291.5,106.00236992121076,281,9,5
E08000006,14,125.5,59.5,16.987562750814586,20,1,1
E08000028,36,260,46,44.55750509123506,90,3,2
E07000168,146,260,291.5,107.78100521361533,283,9,5
E07000188,275,260,259.5,121.57907240940119,293,10,5
E08000014,27,260,52,44.34926622736138,89,3,2
E07000169,162,260,291.5,109.99788078808461,285,10,5
E07000111,163,24.5,125,29.37005751245006,48,2,1
E08000019,66,125.5,125,27.926450321862845,44,2,1
E07000112,128,260,125,61.37516894673306,181,6,3
E06000051,62,125.5,232,45.849168883044136,102,4,2
E06000039,101,260,148,61.235401508807584,178,6,3
E08000029,100,125.5,46,23.411306224796412,34,2,1
E07000006,278,24.5,278,94.90385048932832,267,9,5
E07000012,284,125.5,307.5,135.76241147469432,304,10,5
E07000039,170,125.5,212,53.61033470327365,148,5,3
E06000025,99,24.5,154.5,25.28135624858816,38,2,1
E07000044,178,125.5,259.5,68.17669325053276,199,7,4
E07000140,223,260,249,100.2752616221307,276,9,5
E07000141,281,24.5,249,84.55626386670392,240,8,4
E07000031,177,125.5,269.5,72.16123935626628,208,7,4
E07000149,195,125.5,202,55.76538962077021,162,6,3
E07000155,138,24.5,232,44.25605021308471,87,3,2
E07000179,297,24.5,302,128.09122237909665,302,10,5
E07000126,267,260,71.5,85.36778167237007,245,8,4
E07000189,286,260,259.5,128.004939745872,299,10,5
E07000196,312,125.5,241,127.86435651455261,297,10,5
E08000023,10,260,3,39.19227920865997,69,3,2
E06000045,82,125.5,110,27.718728262498985,42,2,1
E06000033,80,260,184.5,64.61195313347305,188,6,3
E09000028,5,260,26,40.55610245880359,73,3,2
E07000213,224,125.5,172,56.62440908401568,165,6,3
E08000013,40,260,52,45.39260947485726,97,4,2
E07000197,258,125.5,241,81.08479716285129,227,8,4
E07000198,302,125.5,241,109.41489659816125,284,9,5
E08000007,60,24.5,59.5,11.118365308232054,3,1,1
E06000004,76,125.5,7.5,18.008550614538198,22,1,1
E06000021,51,260,241,74.38314897066572,215,7,4
E07000221,151,125.5,194,47.32789972083509,110,4,2
