MSOA11CD,n
E02004824,6
E02004893,6
E02004907,6
E02004982,5
E02004985,7
E02004986,4
E02004991,6
E02005008,8
E02005010,6
E02005018,8
E02005025,6
E02005056,6
E02005071,5
E02005081,19
E02005085,5
E02005096,5
E02005102,7
E02005103,7
E02005113,6
E02005124,5
E02005129,5
E02005132,7
E02005134,12
E02005154,7
E02005156,6
E02005158,5
E02005160,17
E02005162,8
E02005165,5
E02005166,10
E02005184,9
E02005195,11
E02005215,5
E02005223,5
E02005225,4
E02005229,6
E02005233,5
E02005234,4
E02005239,19
E02005247,5
E02005248,5
E02005257,5
E02005266,9
E02005267,4
E02005272,5
E02005276,15
E02005281,5
E02005285,5
E02005288,3
E02005290,5
E02005307,7
E02005340,4
E02005345,7
E02005346,4
E02005354,4
E02005397,3
E02005398,4
E02005419,43
E02005459,9
E02005461,9
E02005494,5
E02005510,7
E02005569,8
E02005576,5
E02005581,8
E02005610,5
E02005617,10
E02005619,7
E02005623,4
E02005626,5
E02005628,6
E02005632,6
E02005645,6
E02005649,5
E02005650,6
E02005656,5
E02005657,5
E02005658,10
E02005659,6
E02005661,5
E02005666,10
E02005667,4
E02005670,14
E02005672,6
E02005674,12
E02005676,4
E02005677,5
E02005682,7
E02005684,6
E02005696,5
E02005701,8
E02005706,4
E02005729,12
E02005732,28
E02005733,15
E02005737,7
E02005756,8
E02005772,10
E02005773,7
E02005776,8
E02005810,13
E02005861,5
E02005895,4
E02005896,14
E02005905,6
E02005906,8
E02005910,5
E02005924,6
E02005946,5
E02005948,12
E02005952,12
E02005963,10
E02005983,5
E02006038,9
E02006039,12
E02006045,16
E02006053,4
E02006057,7
E02006068,4
E02006069,13
E02006074,4
E02006080,8
E02006084,8
E02006091,4
E02006092,5
E02006094,4
E02006103,30
E02006104,4
E02006109,6
E02006115,5
E02006117,8
E02006122,5
E02006134,5
E02006136,4
E02006139,6
E02006149,12
E02006177,4
E02006197,6
E02006228,6
E02006245,5
E02006251,4
E02006254,8
E02006264,4
E02006270,5
E02006280,8
E02006281,4
E02006288,5
E02006292,8
E02006293,4
E02006301,5
E02006308,6
E02006309,5
E02006323,25
E02006328,4
E02006330,5
E02006333,10
E02006341,6
E02006342,7
E02006365,6
E02006366,5
E02006370,12
E02006371,5
E02006373,6
E02006385,4
E02006389,8
E02006390,10
E02006392,5
E02006393,14
E02006395,220
E02006396,230
E02006398,4
E02006399,48
E02006402,4
E02006403,5
E02006407,5
E02006410,5
E02006412,15
E02006414,5
E02006415,114
E02006430,19
E02006438,5
E02006443,24
E02006444,5
E02006445,4
E02006459,5
E02006492,7
E02006510,8
E02006513,7
E02006522,5
E02006526,6
E02006538,6
E02006554,19
E02006556,6
E02006562,10
E02006564,10
E02006573,11
E02006583,5
E02006585,5
E02006591,5
E02006600,5
E02006606,5
E02006608,6
E02006626,5
E02006630,5
E02006645,6
E02006673,7
E02006674,4
E02006675,6
E02006684,9
E02006702,5
E02006710,8
E02006711,6
E02006712,5
E02006713,5
E02006715,5
E02006717,5
E02006720,6
E02006723,5
E02006734,11
E02006740,5
E02006742,11
E02006743,5
E02006744,5
E02006770,5
E02006777,6
E02006779,6
E02006782,6
E02006786,5
E02006793,6
E02006811,10
E02006825,4
E02006841,11
E02006853,4
E02006865,6
E02006871,5
E02006883,4
E02006888,6
E02006901,8
E02006910,7
E02006916,5
E02006927,5
NA,1
