MSOA11CD,Number of fires (three-year average),Proportion of fire incidents per person
E02000173,9.166666666666666,8.960573476702508e-4
E02000174,11.333333333333332,0.0010827680647113149
E02000175,8.333333333333334,7.121898413241034e-4
E02000176,9.5,0.0011964735516372797
E02000177,12.666666666666668,0.0012111939822783198
E02000178,8.833333333333334,8.276335925544208e-4
E02000179,8.333333333333334,0.0010970686326136564
E02000180,11.833333333333334,0.0011645835383656464
E02000181,7,7.379295804343243e-4
E02000182,6,6.612298875909191e-4
E02000183,9,0.0010129431626336523
E02000184,12,0.001109159811442832
E02000185,12.666666666666666,0.0012429267654466359
E02000186,9.333333333333334,0.0010980392156862745
E02000187,10.5,9.053285049146404e-4
E02000188,8.666666666666666,9.565857247976452e-4
E02000189,8.833333333333334,0.0012222683455560168
E02000190,11.333333333333334,0.0012629076591635095
E02000191,6.833333333333334,7.690864753329582e-4
E02000192,5.666666666666667,7.813936385364957e-4
E02000193,7.166666666666666,8.201724269474326e-4
E02000194,7.833333333333334,8.253433076950094e-4
E02000195,5.333333333333333,6.876396768093518e-4
E02000196,5.666666666666667,7.034967928822678e-4
E02000197,5.833333333333334,7.395199459093983e-4
E02000198,9.5,0.0010848464085874158
E02000199,10.5,0.0012586909614001438
E02000200,8.833333333333334,9.940730737489686e-4
E02000201,12.666666666666666,0.0013658256056358277
E02000202,7,8.251797713073205e-4
E02000203,11,0.001644736842105263
E02000204,10,0.0011856770215793219
E02000206,15.5,0.0015160406885758998
E02000207,20,0.002188662727073758
E02000208,12.166666666666666,0.0011117202729044834
E02000209,10.833333333333334,0.0012337243290437689
E02000210,8.666666666666666,0.0010251557448150777
E02000211,6,9.227929867733005e-4
E02000212,8,0.0010865136493277197
E02000213,15.666666666666668,0.0013652868554829341
E02000214,4,6.433971368827409e-4
E02000215,11.666666666666666,0.001006788631918076
E02000216,7,0.0012628540501533466
E02000217,12.333333333333334,9.953460845237136e-4
E02000218,5,7.568876778686043e-4
E02000219,4.5,7.621951219512195e-4
E02000220,12.666666666666666,9.458383114297092e-4
E02000221,9.5,8.812615955473099e-4
E02000222,8.333333333333334,9.994403134244824e-4
E02000223,10.166666666666666,0.00118423607066589
E02000224,6.5,8.032624814631735e-4
E02000225,8.833333333333334,0.0011732412449639174
E02000226,3.5,8.05523590333717e-4
E02000227,7.333333333333334,8.466097129223429e-4
E02000228,5,0.0011027790030877812
E02000229,6.5,9.659681973547332e-4
E02000230,9,8.476172537200979e-4
E02000231,8,0.0010549914281946459
E02000232,4.5,7.180469123982767e-4
E02000233,5.666666666666667,8.8847078499007e-4
E02000234,5.5,7.371665996515213e-4
E02000235,5.166666666666667,7.416977701215427e-4
E02000236,5.5,8.003492433061699e-4
E02000237,4.333333333333333,7.016407599309153e-4
E02000238,4.833333333333333,6.37474720830036e-4
E02000239,7,7.984487281852401e-4
E02000240,10.833333333333332,0.0012964735918302216
E02000241,4,8.195041999590248e-4
E02000242,4.5,6.594372801875733e-4
E02000243,8,0.0011901219875037191
E02000244,8.333333333333334,0.0011081560283687944
E02000245,7.166666666666666,0.0010447035957240039
E02000246,9.833333333333334,0.001150770431051297
E02000247,11,0.001045428625736552
E02000248,7.5,9.692426983716723e-4
E02000249,5.333333333333334,9.515313707998812e-4
E02000250,5,0.0010611205432937182
E02000251,5,6.796248470844094e-4
E02000252,9.833333333333334,8.429053088747928e-4
E02000253,8.666666666666666,0.0011088365745479357
E02000254,4.333333333333333,6.541867954911433e-4
E02000255,6.666666666666667,0.0011614401858304297
E02000256,7.166666666666666,8.066028887638341e-4
E02000257,9.666666666666666,8.50115791633688e-4
E02000258,4,7.292616226071103e-4
E02000259,5.5,9.191176470588235e-4
E02000260,9.666666666666666,0.0010258587144929073
E02000261,6.833333333333334,7.519900223762886e-4
E02000262,10.333333333333334,0.0011746428706756091
E02000263,9,7.468259895444362e-4
E02000264,8,9.46521533364884e-4
E02000265,9.166666666666666,0.0012339031722528827
E02000266,10.333333333333334,0.0010422970882926503
E02000267,5.666666666666667,0.0010117240968874606
E02000268,7.166666666666666,8.040689629380305e-4
E02000269,5,8.047642040882022e-4
E02000270,10.166666666666666,0.0012959422137242404
E02000271,7,0.0010156703424260012
E02000272,4.833333333333333,7.51217490415501e-4
E02000274,10.333333333333334,7.28161041035398e-4
E02000275,7,9.237265769332278e-4
E02000276,7,0.0010815822002472187
E02000277,4.333333333333333,5.649717514124293e-4
E02000278,7.333333333333334,9.490531038350374e-4
E02000279,11.166666666666666,8.54897157147961e-4
E02000280,8.333333333333334,9.795854394420282e-4
E02000281,7.5,0.0010229132569558102
E02000282,9.833333333333332,0.0012397041519583121
E02000283,7.5,8.4707476846623e-4
E02000284,6,6.939625260235947e-4
E02000285,3,6.215040397762585e-4
E02000286,6,7.048872180451127e-4
E02000287,4.833333333333333,6.71576119679496e-4
E02000288,11,0.0012071992976294996
E02000289,2.5,7.518796992481203e-4
E02000290,4.666666666666667,6.847640009782343e-4
E02000291,9.666666666666666,9.400628869655418e-4
E02000292,6,7.067970314524679e-4
E02000293,4,6.200589055960316e-4
E02000294,8.5,8.944543828264759e-4
E02000295,8.5,9.500391192578518e-4
E02000296,10.333333333333334,9.77887132898016e-4
E02000297,8.5,0.0010396281800391389
E02000298,4,8.302200083022001e-4
E02000299,7.666666666666667,7.54444663124057e-4
E02000300,7,7.722007722007722e-4
E02000301,10.333333333333334,9.474038079520798e-4
E02000302,7.833333333333333,9.159650763953851e-4
E02000303,9.666666666666666,0.0010531285179939717
E02000304,6,9.037505648441031e-4
E02000305,7,7.807271916127593e-4
E02000306,12,0.0012989824637367395
E02000307,3.5,7.008410092110533e-4
E02000308,9.5,0.0011148926182372961
E02000309,10.666666666666668,8.595218909481602e-4
E02000311,8.666666666666666,7.978152137224216e-4
E02000312,10.5,0.0010335662958952652
E02000313,8,0.00107095046854083
E02000314,14,8.709717556302103e-4
E02000315,10.666666666666666,0.0011054686150551007
E02000316,13.166666666666666,8.702932557780862e-4
E02000317,11,0.0013470487386725448
E02000318,9.833333333333334,9.347275031685679e-4
E02000319,9,7.691650286300317e-4
E02000320,6,8.185538881309686e-4
E02000321,7.833333333333334,0.0010169198147907742
E02000323,12.833333333333334,0.0011325861206719031
E02000324,5.833333333333334,7.3523233341736e-4
E02000326,6.5,8.716642081265924e-4
E02000327,3.333333333333333,6.034274680183442e-4
E02000328,6.5,9.461426491994177e-4
E02000329,7.833333333333334,0.0012199553548253128
E02000331,7,8.369201339072215e-4
E02000332,9.666666666666666,0.0012687579297370607
E02000333,6,9.253547193090684e-4
E02000334,7.833333333333334,0.0011834617515233924
E02000335,3,8.640552995391706e-4
E02000337,6.666666666666667,8.066142367412785e-4
E02000339,8,0.0012684319010623118
E02000340,5,7.499625018749063e-4
E02000341,9,0.0010951569724993917
E02000342,4.5,7.248711340206186e-4
E02000343,5.5,7.952573742047427e-4
E02000344,5,7.637085688101421e-4
E02000345,12.5,0.0012914557288976134
E02000346,10.666666666666666,0.0013044718927071868
E02000347,11.5,0.0012982614585685256
E02000348,11.333333333333334,0.0012521636651567046
E02000350,12,0.0011934361014420687
E02000351,4,8.343763037129745e-4
E02000352,10,0.0013827433628318584
E02000353,7.5,9.167583425009168e-4
E02000354,12.166666666666666,0.0011412312791170308
E02000355,8,8.639308855291577e-4
E02000356,8.666666666666666,0.001491167699013535
E02000357,7,0.0010682130321989928
E02000358,12.333333333333334,0.0010351966873706005
E02000359,6.5,9.730538922155689e-4
E02000360,15.166666666666666,0.0012487992315081652
E02000361,6.5,9.152351450295691e-4
E02000362,7,9.343299519487453e-4
E02000363,14.333333333333334,0.0012067126901274064
E02000364,10.166666666666666,9.717708532466704e-4
E02000365,15,9.684917355371901e-4
E02000366,11.666666666666666,0.0012579972683487886
E02000367,8.5,7.257513661202186e-4
E02000368,14.333333333333334,0.0013469911975691508
E02000369,16.333333333333332,0.0011124733233437768
E02000370,8.333333333333334,8.28363154406892e-4
E02000371,12.333333333333334,7.488817374056308e-4
E02000372,6.5,8.08558278392835e-4
E02000373,5.5,8.298129149064574e-4
E02000374,7.5,0.0015387771850636028
E02000375,13.833333333333332,0.0019358149081070994
E02000376,7,0.0010184781027207915
E02000377,9.166666666666666,0.0011197980291554686
E02000378,5.666666666666666,0.0011998023854894488
E02000379,7.833333333333334,9.90558084640027e-4
E02000380,7.666666666666667,0.0013363546569054674
E02000381,10,0.0012616704516780217
E02000382,6.5,0.0011030035635499745
E02000383,12,0.0013530273988048259
E02000384,10.333333333333334,0.001386466299923968
E02000385,4,8.958566629339306e-4
E02000386,8.333333333333334,0.0010366131774267116
E02000387,5.833333333333333,0.001272542175683537
E02000388,9.5,0.0010929590427979751
E02000389,3,5.380200860832137e-4
E02000390,8.5,0.0013457884737175427
E02000391,11,0.0013627353815659068
E02000392,7.666666666666666,0.0011586318069618658
E02000393,4.333333333333333,7.309941520467836e-4
E02000394,10,0.001077121930202499
E02000395,7.5,0.0011998080307150855
E02000396,5.666666666666667,8.00376647834275e-4
E02000397,7.166666666666666,8.371296188140014e-4
E02000398,12.666666666666668,0.0016105107014197926
E02000400,7.666666666666667,9.467358195439203e-4
E02000401,4.333333333333333,8.701472556894243e-4
E02000402,6.5,0.0013581278729628081
E02000403,9,0.001095290251916758
E02000404,7.333333333333334,9.477039717411907e-4
E02000405,5,7.814942169427947e-4
E02000406,7,9.754738015607581e-4
E02000407,10.333333333333334,0.0013580409164585798
E02000408,11,0.001302391664693346
E02000409,5.333333333333333,8.663634394628547e-4
E02000410,5.5,8.315693982461445e-4
E02000411,9,8.341829641301325e-4
E02000412,10.333333333333334,0.0013297301934542959
E02000413,5.666666666666667,7.480748074807481e-4
E02000414,7.333333333333334,0.001034612490594432
E02000415,4.666666666666667,6.404977582578461e-4
E02000416,11,0.0013523481681829359
E02000417,4.5,6.850357740904248e-4
E02000418,4.833333333333333,9.049491356175497e-4
E02000419,7.833333333333334,8.728920585394845e-4
E02000420,8.166666666666666,9.897790166848463e-4
E02000421,11.666666666666668,0.0014127714539436508
E02000422,6.5,7.756563245823389e-4
E02000423,5.5,7.375620222609628e-4
E02000424,8.333333333333334,0.0012323770087745243
E02000425,8.833333333333334,0.0011194187470958477
E02000426,4.5,7.366181044360779e-4
E02000427,6.166666666666667,0.0011688147586555472
E02000428,7.833333333333333,9.498403459843983e-4
E02000429,5,7.253735673872045e-4
E02000430,5.333333333333333,7.541478129713423e-4
E02000431,4,6.554153694904145e-4
E02000432,7,0.0011430437622468974
E02000433,8.166666666666666,9.923045767517213e-4
E02000434,7.833333333333333,8.152079647552642e-4
E02000435,7,9.005531969638492e-4
E02000436,3,0.0010567101091933778
E02000437,9.5,0.0011080009330534173
E02000438,7.5,9.514144361283775e-4
E02000439,6.333333333333333,8.713997431663914e-4
E02000440,6,6.22600394313583e-4
E02000441,7,9.875846501128669e-4
E02000442,5.5,7.682637239837967e-4
E02000443,8.666666666666666,0.001001463677682767
E02000444,5,9.125752874612155e-4
E02000445,11.166666666666666,9.883755236915087e-4
E02000447,5,6.866245536940401e-4
E02000448,4,7.464079119238664e-4
E02000449,6,9.156111704562796e-4
E02000451,5,7.640586797066015e-4
E02000452,3.5,5.29821374508023e-4
E02000453,3,4.695570511817186e-4
E02000454,3.5,6.895193065405832e-4
E02000455,4.833333333333333,5.692301652730342e-4
E02000456,5.833333333333334,8.010619793097136e-4
E02000457,5,7.572315614114796e-4
E02000459,8,8.632782993417503e-4
E02000460,4.833333333333334,8.879906914079247e-4
E02000461,5.333333333333334,6.989951944080385e-4
E02000462,6,0.0012014417300760913
E02000463,10.5,0.0012656702025072323
E02000464,6,7.736943907156673e-4
E02000465,7.333333333333334,9.313351960037254e-4
E02000466,9.666666666666666,0.0014042223513461166
E02000467,12.833333333333334,0.0011296948356807513
E02000468,6.833333333333333,8.14461660707191e-4
E02000469,7.333333333333333,9.96512207274539e-4
E02000470,5.5,7.323568575233022e-4
E02000471,4,8.548835221201111e-4
E02000472,3.666666666666667,7.675668132021493e-4
E02000473,8.333333333333334,8.100051840331778e-4
E02000474,6.833333333333333,7.377816166414741e-4
E02000475,10,0.0010111223458038423
E02000476,12.666666666666666,0.0012304902532219416
E02000477,5,6.272738677706687e-4
E02000478,5,0.0011042402826855124
E02000479,6.5,8.286588475267721e-4
E02000480,7.5,6.639518413597734e-4
E02000481,6.5,8.004926108374384e-4
E02000482,3,6.074104069649726e-4
E02000483,5.5,6.881020893281622e-4
E02000484,6.5,7.816257816257817e-4
E02000485,3,5.560704355885078e-4
E02000486,6,9.912440112340988e-4
E02000487,4.5,7.304009089433534e-4
E02000488,3,9.82961992136304e-4
E02000489,6.5,9.480746791131855e-4
E02000490,6,7.514088916718848e-4
E02000491,8,8.118530545971179e-4
E02000492,5,9.96611520829181e-4
E02000493,4.833333333333334,9.454877412623893e-4
E02000494,7.333333333333333,0.0012031719989062072
E02000495,9.333333333333334,8.951979026791995e-4
E02000496,9,0.0011694386694386695
E02000497,9.5,0.001029810298102981
E02000498,9,0.001463176719232645
E02000499,4.333333333333333,7.145998240985048e-4
E02000500,7.333333333333333,8.902917728946623e-4
E02000501,4.5,6.663705019991116e-4
E02000502,6.666666666666667,9.360666479453337e-4
E02000503,7,7.727122198918203e-4
E02000504,4,9.027307605506658e-4
E02000506,6,7.67067246228586e-4
E02000507,5,7.419498441905327e-4
E02000508,9.833333333333334,8.095277297549463e-4
E02000509,6.166666666666667,5.060451884676405e-4
E02000510,6.333333333333333,8.259433142062249e-4
E02000511,9,9.004502251125563e-4
E02000512,7.666666666666667,8.753901195097816e-4
E02000513,9.5,9.408735267901357e-4
E02000514,9.666666666666666,8.936550491510277e-4
E02000515,8.5,7.905505952380952e-4
E02000516,6.333333333333333,8.684126331185155e-4
E02000517,8.5,8.364495178114545e-4
E02000518,9,0.0010249402118209772
E02000519,7.333333333333333,7.881067526419488e-4
E02000520,10,7.085163667280714e-4
E02000521,9.666666666666668,7.167927233180088e-4
E02000522,8,8.200082000820008e-4
E02000523,5.833333333333333,5.792208651904809e-4
E02000524,4.666666666666667,7.313378258371207e-4
E02000525,8,9.418412997409936e-4
E02000526,4.833333333333333,7.15307582260372e-4
E02000528,7.833333333333334,7.088347962477001e-4
E02000529,5.5,8.43558282208589e-4
E02000530,5.333333333333334,9.95210549231822e-4
E02000531,9.666666666666666,9.092904399084438e-4
E02000532,6.5,8.508967142296112e-4
E02000533,7.833333333333333,9.329839606161664e-4
E02000534,10.166666666666666,0.0012788259958071279
E02000535,5.666666666666666,6.126788481637654e-4
E02000536,8,8.544269998931966e-4
E02000537,6.5,7.106931992127706e-4
E02000538,5.166666666666667,8.410657116501168e-4
E02000539,7.666666666666667,8.97105858491302e-4
E02000540,11.333333333333334,0.001007765724109313
E02000541,8.5,8.731381612737545e-4
E02000542,11.333333333333334,9.562380470244122e-4
E02000543,11.333333333333334,8.209585898828927e-4
E02000544,5,7.519927808693036e-4
E02000545,9,0.0012622720897615708
E02000546,7.5,7.712082262210797e-4
E02000547,8.333333333333334,0.001053518752633797
E02000548,8.166666666666666,8.244994110718492e-4
E02000549,8.166666666666666,7.110105055429799e-4
E02000550,12.333333333333334,0.0011332659499525253
E02000551,10.5,0.0011534658903658134
E02000552,7.333333333333334,8.110300081103001e-4
E02000553,3,5.784805244890089e-4
E02000554,16.333333333333332,0.0016276366052150805
E02000555,8.666666666666666,0.0010412912010893506
E02000556,11,9.672030247076409e-4
E02000557,9.666666666666666,0.0010910458991723099
E02000558,10.166666666666668,9.795420239586345e-4
E02000559,5,5.642067253441661e-4
E02000560,6.833333333333334,7.407407407407408e-4
E02000561,10.5,0.0012148559527941688
E02000562,10.166666666666666,0.0011396330755147031
E02000563,8.333333333333334,9.606147934678195e-4
E02000564,11,8.231068542352589e-4
E02000565,8.166666666666668,9.010997094413183e-4
E02000566,8,8.376086273688619e-4
E02000567,11.166666666666666,9.61317722681359e-4
E02000568,9.666666666666668,7.389852967408201e-4
E02000569,13.333333333333332,0.001178376785977316
E02000570,7,7.012622720897616e-4
E02000571,8.333333333333334,8.924109373884487e-4
E02000572,11.833333333333334,0.0012835810102324909
E02000573,9,8.452291510142749e-4
E02000574,9.166666666666666,9.376704855428259e-4
E02000575,15.166666666666668,9.738452977184197e-4
E02000576,12.166666666666666,0.0010006305343092908
E02000577,9.5,0.001431585292344786
E02000578,7.833333333333334,0.0013675512104283055
E02000579,10.666666666666666,0.001324229257190151
E02000580,10.166666666666666,0.0013014166239972691
E02000581,11,0.0017518713170887085
E02000582,11.166666666666666,0.0015328300160146419
E02000583,7.5,0.001081938834391229
E02000584,6,8.714596949891067e-4
E02000585,7,8.75e-4
E02000586,8.333333333333334,0.0010756852114797127
E02000587,7.5,9.891849116328145e-4
E02000588,9.666666666666668,0.0012396340942121913
E02000589,10.5,0.0011816340310600946
E02000590,8.166666666666666,0.0011806659920003855
E02000591,6,8.713331397037467e-4
E02000592,7.666666666666666,0.0010958643034114732
E02000593,6.666666666666667,8.120178643930166e-4
E02000594,5.5,7.096774193548388e-4
E02000595,12,0.0015756302521008404
E02000596,8.5,0.0011014642995982895
E02000597,10.666666666666666,0.001498337781523622
E02000598,5.5,6.644116936458082e-4
E02000599,6,7.048872180451127e-4
E02000600,6.666666666666667,6.861534239055853e-4
E02000601,8.5,6.308914124545387e-4
E02000602,11.833333333333334,9.954015253476895e-4
E02000603,5.333333333333334,7.371573370191201e-4
E02000604,6.666666666666667,8.888888888888889e-4
E02000605,4,6.247071685147587e-4
E02000606,8.666666666666666,7.63582966226138e-4
E02000607,6,7.44509244323117e-4
E02000608,5.666666666666667,7.496582440358072e-4
E02000609,7.5,9.77198697068404e-4
E02000610,6.5,7.946210268948655e-4
E02000611,4.666666666666667,7.996344528215674e-4
E02000612,6,7.265681763138775e-4
E02000613,7,8.335317932841152e-4
E02000614,8,8.575410011791188e-4
E02000615,3.5,7.332914309658496e-4
E02000616,5.5,0.0012362328613171499
E02000617,5,6.699718611818304e-4
E02000619,12,0.0013160780872998464
E02000620,9.666666666666666,9.100608799347266e-4
E02000621,12.333333333333334,9.92063492063492e-4
E02000622,8.333333333333334,9.386498460614253e-4
E02000623,13.166666666666668,0.0016257151088611764
E02000624,9.333333333333334,0.0010439970171513796
E02000625,7.5,0.0011257880516361454
E02000626,9.666666666666668,0.001161579748457903
E02000627,11.666666666666666,0.0011764310443346442
E02000628,11.833333333333334,0.0013675411225393891
E02000629,9.166666666666666,0.0010143484194607354
E02000630,6.666666666666667,8.296001327360213e-4
E02000631,8.5,8.992805755395684e-4
E02000632,7.833333333333333,8.500633025863628e-4
E02000633,9.5,0.0010454495433036206
E02000634,7.166666666666666,0.0014596062457569584
E02000635,9.5,0.0010224948875255625
E02000636,8,9.821976672805403e-4
E02000637,8.833333333333334,9.720846630717876e-4
E02000638,7.5,6.925207756232687e-4
E02000639,11.833333333333334,0.0014614466263225064
E02000640,12,0.001215066828675577
E02000641,10.5,0.0012088418144139996
E02000642,5.833333333333333,5.986590038314176e-4
E02000643,7.833333333333333,8.130925195488202e-4
E02000644,8,0.0010847457627118644
E02000645,6.833333333333333,6.943033258822733e-4
E02000646,10.166666666666668,9.805812757201647e-4
E02000647,8.666666666666666,9.33606233617006e-4
E02000648,12.833333333333334,0.0015372943619230155
E02000649,13,9.568673634623877e-4
E02000650,9,0.0014075695964967157
E02000651,7.833333333333333,8.55540993155672e-4
E02000652,6.5,8.269720101781171e-4
E02000653,11.5,9.77226376614548e-4
E02000654,9.5,0.0010783200908059023
E02000655,9.666666666666666,0.0010377527285739846
E02000657,10,0.0010011012113324658
E02000658,7.333333333333333,8.340915984228086e-4
E02000659,9.333333333333334,0.0014173626929891167
E02000660,12.166666666666666,0.001408668133225271
E02000661,6.166666666666666,0.001171701817721198
E02000662,8,9.182736455463728e-4
E02000663,10.333333333333334,0.0013894491506431805
E02000664,16.833333333333332,0.0011466067252457824
E02000665,5.333333333333334,8.197561225535404e-4
E02000666,7.833333333333334,0.0010599909788001805
E02000667,4,5.768676088837611e-4
E02000668,6,7.91765637371338e-4
E02000669,8,9.598080383923216e-4
E02000670,8.833333333333334,0.0013291202728458221
E02000671,8.333333333333334,9.506426344208686e-4
E02000672,7.666666666666667,7.460024001816354e-4
E02000673,7,7.961783439490446e-4
E02000674,6.5,7.560777015237874e-4
E02000675,6.666666666666666,9.574417157355545e-4
E02000676,11,0.001331235628706281
E02000677,5.5,7.26552179656539e-4
E02000678,5.833333333333334,8.479914716286283e-4
E02000679,11,0.0013095238095238095
E02000680,8.5,0.0011141696159391794
E02000681,6.166666666666667,8.957970172380399e-4
E02000682,8.833333333333334,9.729412196644271e-4
E02000683,3.833333333333333,7.714496545247199e-4
E02000685,7.666666666666667,9.019607843137256e-4
E02000686,10.166666666666666,0.001356459862130309
E02000687,9.5,0.0013964427458474202
E02000689,6.5,9.187279151943462e-4
