lad_code,deciles
W06000001,10
W06000002,1
W06000003,9
W06000004,3
W06000005,6
W06000006,6
W06000008,8
W06000009,5
W06000010,2
W06000011,2
W06000012,4
W06000013,7
W06000014,9
W06000015,1
W06000016,1
W06000018,3
W06000019,7
W06000020,10
W06000021,10
W06000022,5
W06000023,4
W06000024,8
