LAD19CD,Mean waiting list size
E08000005,12324.25
E08000006,9499.333333333334
E08000007,10062.222222222223
E08000008,4296
E08000009,13378
E08000010,5440.416666666667
E08000011,5982.833333333333
E08000012,4822.571428571428
E08000013,4608.041666666667
E08000014,3830.222222222222
E08000015,3148.5833333333335
E08000016,6278.222222222223
E08000017,7656.458333333333
E08000018,7656.458333333333
E08000019,6695.888888888889
E08000021,8408
E08000022,7968.833333333333
E08000023,5915
E08000024,7096.416666666667
E08000025,8717.166666666666
E08000026,9144.833333333334
E08000027,7806.666666666667
E08000028,12580.666666666666
E08000029,8224.333333333334
E08000030,7338.166666666667
E08000031,10664.833333333334
E08000032,6672.8
E08000033,9593.666666666666
E08000034,7823.388888888889
E08000035,7164.611111111111
E08000036,8784.466666666667
E08000037,7467.277777777777
E09000001,22771.5
E09000002,10125.5
E09000003,19448.666666666668
E09000004,10894
E09000005,8000.111111111111
E09000006,10048.9
E09000007,11500.7
E09000008,5045.666666666667
E09000009,10735
E09000010,11517.166666666666
E09000011,12347.416666666666
E09000012,13429.333333333334
E09000013,10607.888888888889
E09000014,3534.6666666666665
E09000015,7493.583333333333
E09000016,16363.083333333334
E09000017,9027.533333333333
E09000018,11441.333333333334
E09000019,7897.433333333333
E09000020,6466.571428571428
E09000021,5860
E09000022,11387.291666666666
E09000023,9464.166666666666
E09000024,8790
E09000025,22771.5
E09000026,11536.833333333334
E09000027,5079.791666666667
E09000028,10520.666666666666
E09000029,5045.233333333334
E09000030,11473.888888888889
E09000031,22686.083333333332
E09000032,8682.166666666666
E09000033,9980.625
L99999999,13744
W06000006,928.8333333333334
NA,366.49932065217394
